pmid,title,year,journal,doi,sources,source_count
27860426,,,,,B3_stroma,1
27863068,,,,,B3_stroma,1
28485528,,,,,B3_stroma,1
28600807,,,,,A3_epithelium_limbus,1
28613758,,,,,A3_epithelium_limbus;B3_stroma,2
28780705,,,,,B3_stroma,1
29023312,,,,,C4_endothelium,1
29024376,,,,,B3_stroma;D3_full_thickness_multilayer,2
29040116,,,,,C4_endothelium,1
29040119,,,,,A3_epithelium_limbus,1
29043524,,,,,C4_endothelium,1
29111821,,,,,C4_endothelium,1
29128534,,,,,B3_stroma;D3_full_thickness_multilayer,2
29133296,,,,,C4_endothelium,1
29135708,,,,,A3_epithelium_limbus,1
29176452,,,,,B3_stroma;D3_full_thickness_multilayer,2
29193831,,,,,B3_stroma,1
29207049,,,,,A3_epithelium_limbus,1
29208552,,,,,B3_stroma,1
29260410,,,,,D3_full_thickness_multilayer,1
29281419,,,,,D3_full_thickness_multilayer,1
29294389,,,,,C4_endothelium,1
29300261,,,,,C4_endothelium,1
29306866,,,,,B3_stroma,1
29327391,,,,,C4_endothelium,1
29338061,,,,,C4_endothelium,1
29343529,,,,,C4_endothelium,1
29359095,,,,,B3_stroma,1
29384808,,,,,C4_endothelium,1
29392398,,,,,A3_epithelium_limbus,1
29407158,,,,,B3_stroma,1
29413615,,,,,C4_endothelium,1
29429294,,,,,C4_endothelium,1
29430874,,,,,C4_endothelium,1
29453401,,,,,C4_endothelium,1
29483081,,,,,C4_endothelium,1
29489516,,,,,C4_endothelium,1
29495264,,,,,A3_epithelium_limbus;B3_stroma;D3_full_thickness_multilayer,3
29496505,,,,,B3_stroma;D3_full_thickness_multilayer,2
29535350,,,,,A3_epithelium_limbus;C4_endothelium,2
29538596,,,,,B3_stroma,1
29557816,,,,,C4_endothelium,1
29564655,,,,,B3_stroma,1
29595764,,,,,C4_endothelium,1
29620862,,,,,A3_epithelium_limbus;D3_full_thickness_multilayer,2
29634673,,,,,C4_endothelium,1
29634675,,,,,C4_endothelium,1
29634842,,,,,B3_stroma,1
29637812,,,,,A3_epithelium_limbus;B3_stroma,2
29654575,,,,,C4_endothelium,1
29654654,,,,,B3_stroma,1
29672430,,,,,C4_endothelium,1
29678720,,,,,A3_epithelium_limbus,1
29680447,,,,,C4_endothelium,1
29684677,,,,,D3_full_thickness_multilayer,1
29691018,,,,,A3_epithelium_limbus,1
29698634,,,,,C4_endothelium,1
29707747,,,,,B3_stroma,1
29708936,,,,,C4_endothelium,1
29710848,,,,,C4_endothelium;D3_full_thickness_multilayer,2
29737973,,,,,C4_endothelium,1
29755822,,,,,C4_endothelium,1
29756410,,,,,C4_endothelium,1
29772228,,,,,D3_full_thickness_multilayer,1
29805794,,,,,B3_stroma,1
29844085,,,,,C4_endothelium,1
29850201,,,,,C4_endothelium,1
29853917,,,,,C4_endothelium,1
29883810,,,,,B3_stroma;D3_full_thickness_multilayer,2
29921952,,,,,C4_endothelium,1
29932259,,,,,C4_endothelium,1
29939775,,,,,C4_endothelium,1
29978836,,,,,A3_epithelium_limbus;B3_stroma;D3_full_thickness_multilayer,3
29993202,,,,,B3_stroma,1
29998891,,,,,C4_endothelium,1
30019745,,,,,B3_stroma;D3_full_thickness_multilayer,2
30023801,,,,,B3_stroma,1
30029257,,,,,B3_stroma,1
30046814,,,,,B3_stroma,1
30053442,,,,,B3_stroma,1
30066447,,,,,C4_endothelium,1
30073623,,,,,C4_endothelium,1
30106514,,,,,B3_stroma,1
30114356,,,,,A3_epithelium_limbus,1
30123378,,,,,C4_endothelium,1
30135552,,,,,B3_stroma,1
30136872,,,,,C4_endothelium,1
30140924,,,,,C4_endothelium,1
30170195,,,,,B3_stroma,1
30171415,,,,,B3_stroma;C4_endothelium,2
30171674,,,,,C4_endothelium,1
30192833,,,,,B3_stroma,1
30208140,,,,,B3_stroma,1
30234679,,,,,C4_endothelium,1
30244654,,,,,B3_stroma,1
30246164,,,,,C4_endothelium,1
30248890,,,,,B3_stroma,1
30279086,,,,,C4_endothelium,1
30279555,,,,,A3_epithelium_limbus,1
30303747,,,,,C4_endothelium,1
30308581,,,,,C4_endothelium,1
30318740,,,,,C4_endothelium,1
30319302,,,,,C4_endothelium,1
30323996,,,,,A3_epithelium_limbus;D3_full_thickness_multilayer,2
30337966,,,,,A3_epithelium_limbus,1
30339045,,,,,C4_endothelium;D3_full_thickness_multilayer,2
30339062,,,,,C4_endothelium,1
30346342,,,,,C4_endothelium,1
30346343,,,,,C4_endothelium,1
30357138,,,,,A3_epithelium_limbus,1
30359250,,,,,A3_epithelium_limbus;B3_stroma,2
30390645,,,,,B3_stroma,1
30398231,,,,,B3_stroma,1
30414971,,,,,C4_endothelium,1
30421526,,,,,B3_stroma,1
30471280,,,,,C4_endothelium,1
30499512,,,,,C4_endothelium,1
30502334,,,,,C4_endothelium,1
30537839,,,,,A3_epithelium_limbus,1
30548137,,,,,A3_epithelium_limbus,1
30548314,,,,,C4_endothelium,1
30560229,,,,,C4_endothelium,1
30575620,,,,,C4_endothelium,1
30578722,,,,,B3_stroma,1
30579044,,,,,B3_stroma,1
30589181,,,,,C4_endothelium,1
30631985,,,,,A3_epithelium_limbus,1
30652765,,,,,A3_epithelium_limbus,1
30669005,,,,,B3_stroma,1
30702471,,,,,C4_endothelium,1
30716697,,,,,A3_epithelium_limbus,1
30719240,,,,,A3_epithelium_limbus,1
30719272,,,,,B3_stroma,1
30719600,,,,,B3_stroma,1
30721784,,,,,B3_stroma,1
30756083,,,,,B3_stroma,1
30772348,,,,,B3_stroma,1
30800519,,,,,B3_stroma,1
30840610,,,,,C4_endothelium,1
30879417,,,,,B3_stroma,1
30880908,,,,,C4_endothelium,1
30882543,,,,,C4_endothelium,1
30906864,,,,,B3_stroma,1
30918800,,,,,A3_epithelium_limbus;B3_stroma;C4_endothelium;D3_full_thickness_multilayer,4
30938102,,,,,A3_epithelium_limbus;B3_stroma;D3_full_thickness_multilayer,3
30964962,,,,,A3_epithelium_limbus,1
30973407,,,,,C4_endothelium,1
30975342,,,,,C4_endothelium,1
30980816,,,,,C4_endothelium,1
30988597,,,,,C4_endothelium,1
30989737,,,,,B3_stroma;C4_endothelium;D3_full_thickness_multilayer,3
30995622,,,,,B3_stroma;D3_full_thickness_multilayer,2
31009395,,,,,A3_epithelium_limbus;C4_endothelium,2
31033696,,,,,C4_endothelium,1
31065280,,,,,A3_epithelium_limbus,1
31075513,,,,,D3_full_thickness_multilayer,1
31129253,,,,,C4_endothelium,1
31129362,,,,,B3_stroma,1
31135493,,,,,C4_endothelium,1
31138243,,,,,C4_endothelium,1
31146996,,,,,B3_stroma,1
31157156,,,,,C4_endothelium,1
31161710,,,,,A3_epithelium_limbus,1
31169610,,,,,C4_endothelium,1
31174988,,,,,C4_endothelium,1
31206397,,,,,C4_endothelium,1
31219885,,,,,C4_endothelium,1
31228462,,,,,B3_stroma,1
31240872,,,,,D3_full_thickness_multilayer,1
31246680,,,,,C4_endothelium,1
31258659,,,,,C4_endothelium,1
31282615,,,,,C4_endothelium,1
31284096,,,,,B3_stroma,1
31299664,,,,,C4_endothelium,1
31349505,,,,,A3_epithelium_limbus;B3_stroma;D3_full_thickness_multilayer,3
31369719,,,,,C4_endothelium,1
