screening_id,pmid,title,year,journal,doi,corneal_layer,priority_level,final_core_status,study_type,target_layer_final,biomaterial_category,specific_materials,fabrication_method,scaffold_architecture,cell_type_used,cell_source,growth_factors_or_bioactive_agents,optical_transparency_reported,optical_metric_details,mechanical_testing_reported,mechanical_metric_details,biological_testing_reported,biological_metric_details,in_vitro_model,ex_vivo_model,animal_model,clinical_evidence,follow_up_duration,main_outcomes,main_limitations,translational_readiness_level,benchmarking_relevance,include_in_final_review,extraction_notes
PUBMED_0005,28613758,Neurotrophic Keratitis.,2026,,,multiple_layers,High,Provisional core - unresolved manual check,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0008,29024376,"Evaluation of collagen foam, poly(l-lactic acid) nanofiber mesh, and decellularized matrices for corneal regeneration.",2018,"Journal of biomedical materials research. Part B, Applied biomaterials",10.1002/jbm.b.34022,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0013,29128534,Development of gelatin/ascorbic acid cryogels for potential use in corneal stromal tissue engineering.,2018,Acta biomaterialia,10.1016/j.actbio.2017.11.018,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0016,29176452,Collagen-Based Fillers as Alternatives to Cyanoacrylate Glue for the Sealing of Large Corneal Perforations.,2018,Cornea,10.1097/ICO.0000000000001459,stroma,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0038,29495264,Engineering of Corneal Tissue through an Aligned PVA/Collagen Composite Nanofibrous Electrospun Scaffold.,2018,"Nanomaterials (Basel, Switzerland)",10.3390/nano8020124,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0045,29620862,Gelatin-Based Photocurable Hydrogels for Corneal Wound Repair.,2018,ACS applied materials & interfaces,10.1021/acsami.7b17054,epithelium_limbus,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0049,29637812,Preserving Basement Membranes during Detachment of Cultivated Oral Mucosal Epithelial Cell Sheets for the Treatment of Total Bilateral Limbal Stem Cell Deficiency.,2018,Cell transplantation,10.1177/0963689717741140,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0060,29710848,Biofunctionalized Lysophosphatidic Acid/Silk Fibroin Film for Cornea Endothelial Cell Regeneration.,2018,"Nanomaterials (Basel, Switzerland)",10.3390/nano8050290,endothelium,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0069,29883810,Cell-laden and orthogonal-multilayer tissue-engineered corneal stroma induced by a mechanical collagen microenvironment and transplantation in a rabbit model.,2018,Acta biomaterialia,10.1016/j.actbio.2018.06.005,stroma,High,Provisional core - unresolved manual check,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBMED_0073,29978836,Decellularized corneal lenticule embedded compressed collagen: toward a suturable collagenous construct for limbal reconstruction.,2018,Biofabrication,10.1088/1758-5090/aad1a4,multiple_layers,High,Provisional core,,,,,,,,,,,,,,,,,,,,,,,,,,
