screening_id,pmid,title,abstract,year,journal,doi,sources,source_count,decision,exclusion_reason,corneal_layer,priority_level,screening_notes
PUBMED_0002,27863068,Scaffold-free tissue engineering of functional corneal stromal tissue.,"Blinding corneal scarring is predominately treated with allogeneic graft tissue; however, there is a worldwide shortage of donor tissue leaving millions in need of therapy. Human corneal stromal stem cells (CSSC) have been shown produce corneal tissue when cultured on nanofibre scaffolding, but this tissue cannot be readily separated from the scaffold. In this study, scaffold-free tissue engineering methods were used to generate biomimetic corneal stromal tissue constructs that can be transplanted in vivo without introducing the additional variables associated with exogenous scaffolding. CSSC were cultured on substrates with aligned microgrooves, which directed parallel cell alignment and matrix organization, similar to the organization of native corneal stromal lamella. CSSC produced sufficient matrix to allow manual separation of a tissue sheet from the grooved substrate. These constructs were cellular and collagenous tissue sheets, approximately 4 μm thick and contained extracellular matrix molecules typical of corneal tissue including collagen types I and V and keratocan. Similar to the native corneal stroma, the engineered corneal tissues contained long parallel collagen fibrils with uniform diameter. After being transplanted into mouse corneal stromal pockets, the engineered corneal stromal tissues became transparent, and the human CSSCs continued to express human corneal stromal matrix molecules. Both in vitro and in vivo, these scaffold-free engineered constructs emulated stromal lamellae of native corneal stromal tissues. Scaffold-free engineered corneal stromal constructs represent a novel, potentially autologous, cell-generated, biomaterial with the potential for treating corneal blindness. Copyright © 2016 John Wiley & Sons, Ltd.",2018,Journal of tissue engineering and regenerative medicine,10.1002/term.2363,B3_stroma,1,Include,,stroma,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0003,28485528,Bioengineered keratocyte spheroids fabricated on chitosan coatings enhance tissue repair in a rabbit corneal stromal defect model.,"Cultivated cell spheroid transplantation is widely studied as a means of facilitating tissue regeneration. Chitosan biomaterial has been shown to promote keratocyte aggregation and multicellular spheroid formation. This study provides further evidence on application of bioengineered keratocyte spheroids for corneal stromal tissue engineering. In an allogeneic rabbit model of stromal destruction caused by bacterial keratitis, the corneas were intrastromally injected with isolated keratocyte suspensions or aggregated spheroid grafts at same cell number. Results of clinical observations and histological examinations on postoperative day 14 showed that when an antibiotic eye drop is only medication for inhibiting bacterial growth, permanent damage to stroma occurs, leading to disorganization of collagen lamellae and tissue structure as well as loss of corneal transparency and visual function. Intrastromal grafting of keratocytes provided additional benefits to overcome drawbacks of limited disease treatment performance associated with topically applied antibiotics. In particular, as compared to their cell suspension counterparts, bioengineered keratocyte spheroids had higher ability to preserve cellular phenotype, secrete collagen matrix, and enhance graft retention, suggesting excellent repair capability for managing stromal tissue defect and alleviating corneal haze/oedema. In summary, the findings emphasize the role of keratocyte configuration (i.e., two-dimensional monolayer or three-dimensional spheroid) in determining therapeutic potency of cellular allografts for stromal tissue reconstruction. Transplantation of keratocyte spheroids cultured on chitosan substrates may represent a promising strategy for corneal stromal repair.",2018,Journal of tissue engineering and regenerative medicine,10.1002/term.2456,B3_stroma,1,Include,,stroma,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0004,28600807,Multi-layered silk film coculture system for human corneal epithelial and stromal stem cells.,"With insufficient options to meet the clinical demand for cornea transplants, one emerging area of emphasis is on cornea tissue engineering. In the present study, the goal was to combine the corneal stroma and epithelium into one coculture system, to monitor both human corneal stromal stem cell (hCSSC) and human corneal epithelial cell (hCE) growth and differentiation into keratocytes and differentiated epithelium in these three-dimensional tissue systems in vitro. Coculture conditions were first optimized, including the medium, air-liquid interface culture, and surface topography and chemistry of biomaterial scaffold films based on silk protein. The silk was used as scaffolding for both stromal and epithelial tissue layers because it is cell compatible, can be surface patterned, and is optically clear. Next, the effects of proliferating and differentiating hCEs and hCSSCs were studied in this in vitro system, including the effects on cell proliferation, matrix formation by immunochemistry, and gene expression by quantitative reverse transcription-polymerase chain reaction. The incorporation of both cell types into the coculture system demonstrated more complete differentiation and growth for both cell types compared to the corneal stromal cells and corneal epithelial cells alone. Silk films for corneal epithelial culture were optimized to combine a 4.0-μm-scale surface pattern with bulk-loaded collagen type IV. Differentiation of each cell type was in evidence based on increased expression of corneal stroma and epithelial proteins and transcript levels after 6 weeks in coculture on the optimized silk scaffolds.",2018,Journal of tissue engineering and regenerative medicine,10.1002/term.2499,A3_epithelium_limbus,1,Include,,multiple_layers,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0005,28613758,Neurotrophic Keratitis.,"Neurotrophic keratitis is a degenerative corneal disease caused by impaired sensory innervation. The condition is characterized by decreased or absent corneal sensation, leading to epithelial breakdown, delayed healing, and, ultimately, corneal ulceration, melting, and perforation. Initially described as neuroparalytic keratitis, this corneal pathology was first demonstrated experimentally by Magendie in 1824. Neurotrophic keratitis is a rare but vision-threatening disease that progresses due to corneal nerve dysfunction. The corneal nerves play a crucial role in maintaining ocular surface health by regulating epithelial cell proliferation, tear film stability, and immune responses. When these nerves are compromised by systemic or local conditions, the cornea loses its protective mechanisms, making it vulnerable to ulceration, infection, and mechanical trauma. The prevalence of neurotrophic keratitis is relatively low, affecting approximately 5 per 10,000 individuals, but it is often underdiagnosed due to its subtle clinical presentation. The disease follows the 3-stage Mackie classification. Stage 1 is characterized by corneal epithelial irregularities and punctate keratopathy. Stage 2 presents with a persistent epithelial defect (PED) and stromal involvement. Stage 3 encompasses corneal ulceration with stromal melting and possible perforation. Progression is often insidious, with patients rarely reporting pain due to diminished corneal sensation. However, some individuals may experience blurred vision, mild redness, or recurrent ocular surface inflammation. Early recognition and prompt intervention are essential to prevent irreversible damage and vision loss. Neurotrophic keratitis results from damage to the sensory (afferent) fibers of the trigeminal nerve, the 5th cranial nerve. These fibers maintain corneal sensation and epithelial integrity. Several systemic and ocular conditions can lead to corneal nerve dysfunction, including herpetic infection from herpes simplex (HSV) or varicella-zoster (VZV) virus, diabetes mellitus, postsurgical nerve damage from procedures such as refractive surgery, corneal transplantation, or trigeminal neuralgia surgery, as well as chemical burns, chronic topical drug use, contact lens wear, and autoimmune diseases such as Sjögren syndrome. Central nervous system disorders affecting the trigeminal ganglion or brainstem can also disrupt corneal innervation, contributing to neurotrophic keratitis. The corneal epithelium relies on trophic factors from corneal nerves, including substance P, nerve growth factor (NGF), and insulin-like growth factor 1 (IGF-1), to maintain ocular surface health and prevent epithelial breakdown. Loss of nerve function slows epithelial turnover, disrupts tear film dynamics, and impairs corneal healing, producing PEDs, ulceration, and corneal thinning. The absence of sensory feedback further reduces reflex tearing and blinking, exacerbating ocular surface desiccation and inflammation. One of the most challenging aspects of diagnosing neurotrophic keratitis is the lack of significant symptoms despite ongoing corneal damage. Unlike other corneal diseases, where pain and discomfort prompt early medical attention, neurotrophic keratitis often remains undetected until severe complications arise. Common clinical signs include punctate epithelial erosions, PEDs, corneal ulceration, and thinning. In advanced cases, stromal necrosis and perforation may develop, necessitating urgent surgical intervention. A comprehensive clinical evaluation should include corneal sensation testing with a cotton wisp, a Cochet-Bonnet esthesiometer, or dental floss. A slit-lamp examination can assess epithelial irregularities, tear meniscus height reduction, punctate keratopathy, and stromal opacities. Fluorescein and Rose Bengal staining help detect epithelial damage and conjunctival involvement, while tear film analysis using the Schirmer test, tear breakup time (TBUT), and ocular surface inflammation markers further support diagnosis. Corneal imaging with anterior segment optical coherence tomography (AS-OCT) or in vivo confocal microscopy (IVCM) provides detailed visualization of nerve density, epithelial integrity, and subbasal nerve plexus abnormalities. The Mackie classification divides neurotrophic keratitis into 3 progressive stages. Stage 1 presents with early epithelial irregularities, corneal haze, reduced tear film stability, and punctate epithelial erosions. Stage 2 involves a PED with underlying stromal involvement, often leading to stromal thinning and edema (see Image. Stage 2 Neurotrophic Keratitis). Stage 3 represents the most severe form, characterized by corneal ulceration, stromal melting, and potential perforation, which significantly increases the risk of infectious keratitis and permanent vision loss. Early recognition and classification are crucial for guiding treatment and preventing disease progression. Management of neurotrophic keratitis depends on disease severity and focuses on promoting corneal healing, restoring nerve function, and preventing complications. Treatment is multimodal, incorporating topical, surgical, and regenerative approaches. Conservative medical therapy serves as the first-line intervention, including lubrication with nonpreserved artificial tears, hydrogel inserts, and autologous serum tears to maintain ocular surface hydration. Discontinuing toxic medications, such as preserved eye drops, glaucoma drugs, and long-term corticosteroids, is essential to prevent further epithelial toxicity. Therapeutic contact lenses, including bandage, scleral, and amniotic membrane lenses, can support corneal healing in patients with PEDs. For more advanced cases, biological and pharmacologic treatments have transformed neurotrophic keratitis management. Recombinant NGF (cenegermin-bkbj, Oxervate™) stimulates corneal nerve regeneration and enhances epithelial healing. Platelet-rich plasma (PRP) and autologous serum drops, which contain epithelial growth factors and anti-inflammatory cytokines, support ocular surface repair and reduce inflammation. Surgical and interventional approaches are reserved for severe or refractory cases. Tarsorrhaphy, a partial or complete closure of the eyelids, reduces corneal exposure and promotes healing. Amniotic membrane transplantation (AMT) provides growth factors and anti-inflammatory properties to facilitate epithelial recovery. Corneal neurotization, a novel technique involving the transplantation of sensory nerves, such as the supraorbital or infraorbital nerve, has shown promise in restoring corneal sensation in severe cases. For patients with corneal perforation, conjunctival flaps and keratoplasty procedures, including lamellar or penetrating keratoplasty (PKP), may be necessary. Managing neurotrophic keratitis requires an interprofessional approach involving ophthalmologists, cornea specialists, neurologists, and optometrists. Early referral to an ophthalmologist is essential, as delayed diagnosis can lead to irreversible corneal damage. The future of neurotrophic keratitis treatment lies in regenerative medicine, neuroprotection, and gene therapy. Emerging therapies, including mesenchymal stem cell therapy, gene-based neurotrophic factor delivery, and bioengineered corneal substitutes, offer hope for improved outcomes. Advances in biologic treatments, regenerative medicine, and corneal neurotization are transforming the treatment landscape, enhancing both visual prognosis and quality of life. Increased awareness, research, and accessibility of novel therapies will be crucial in optimizing long-term patient outcomes.",2026,,,A3_epithelium_limbus;B3_stroma,2,Include,,multiple_layers,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0008,29024376,"Evaluation of collagen foam, poly(l-lactic acid) nanofiber mesh, and decellularized matrices for corneal regeneration.","Corneal tissue engineering efforts to obtain corneal tissue matrices through various types of materials for the replacement of damaged tissues. In this study, three different corneal constructs were prepared and evaluated in terms of morphological, optical, and biological characteristics. Type-I collagen was used to obtain collagen foam scaffolds through dehydrothermal crosslinking, while poly(l-lactic acid) (PLLA) was used to produce both random and aligned oriented electrospun corneal constructs. Bovine corneas were decellularized as third matrix. Software analyses showed that average pore size of collagen scaffolds was 88.207 ± 29.7 µm, while the average fiber diameter of aligned and random PLLA scaffolds were 0.69 ± 0.03 and 0.65 ± 0.03 μm, respectively. Degradation profiles revealed that collagen foam exhibits high degradation (20% mass loss) while electrospun PLLA scaffolds hold low degradation (9% mass loss) rates at day-28. Transmittance values of the obtained scaffolds were calculated as 92, 80, and 70% for collagen, PLLA, and decellularized cornea constructs, respectively. The evaluation of stromal keratocyte behavior on the constructs revealed that the cells exhibited their own morphology mostly on the aligned PLLA constructs, while they were mostly active on random PLLA electrospun corneal scaffolds. © 2017 Wiley Periodicals, Inc. J Biomed Mater Res Part B: Appl Biomater, 106B: 2157-2168, 2018.",2018,"Journal of biomedical materials research. Part B, Applied biomaterials",10.1002/jbm.b.34022,B3_stroma;D3_full_thickness_multilayer,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0010,29040119,Prospective Clinical Trial of Corneal Reconstruction With Biomaterial-Free Cultured Oral Mucosal Epithelial Cell Sheets.,"PURPOSE: To investigate the efficacy and safety of transplantation with biomaterial-free cultured oral mucosal epithelial cell sheets (COMECs) for ocular reconstruction in subjects with total limbal stem cell deficiency. METHODS: A prospective clinical trial (NCT02149732) was conducted in 8 subjects with total limbal stem cell deficiency after approval from the institutional review board of Seoul National University Hospital (H-0707-043-213) and the Ministry of Food and Drug Safety of Korea. COMECs were prepared in a culture system without the use of any temperature-sensitive polymers or carriers. The COMECs were transplanted without suture fixation. Four subjects underwent penetrating keratoplasty after stabilization of the COMEC transplant. Stable epithelialization, changes in visual acuity, and postoperative complications were evaluated for 6 months. Corneal cytokeratins (K) of 4 subjects who underwent penetrating keratoplasty were stained with an immunofluorescent agent. RESULTS: The ocular surface was successfully reconstructed in 6 eyes. Complete stable epithelialization was achieved within a mean of 53.6 days. Visual improvement (≥2 lines) was achieved in 62.5% of the eyes. K12 (corneal phenotype), K4, and K13 (mucosal phenotype) were well expressed in grafts after keratoplasty, whereas K1, K8, and K19 were barely expressed. No ocular infections, local tumor formation, or remarkable systemic complications were observed. Ocular reconstruction using COMECs failed in 2 eyes, which had full symblepharon in 4 quadrants. CONCLUSIONS: Transplanting biomaterial-free COMECs seems to be an efficient and safe procedure to reconstruct the ocular surface in patients who are completely limbal stem cell deficient without a full symblepharon.",2018,Cornea,10.1097/ICO.0000000000001409,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0013,29128534,Development of gelatin/ascorbic acid cryogels for potential use in corneal stromal tissue engineering.,"To offer an ideal hospitable environment for corneal keratocyte growth, the carrier materials can be functionalized with incorporation of signaling molecules to regulate cell biological events. This study reports, for the first time, the development of gelatin/ascorbic acid (AA) cryogels for keratocyte carriers in vitro and in vivo. The cryogel samples were fabricated by blending of gelatin with varying amounts of AA (0-300 mg) and carbodiimide cross-linking via cryogelation technique. Hydrophilic AA content in the carriers was found to significantly affect cross-linking degree and pore dimension of cryogels, thereby dictating their mechanical and biological stability and AA release profile. The cryogel carriers with low-to-moderate AA loadings were well tolerated by rabbit keratocyte cultures and anterior segment eye tissues, demonstrating good ocular biocompatibility. Although higher incorporated AA level contributed to enhanced metabolic activity and biosynthetic capacity of keratocytes grown on cryogel matrices, the presence of excessive amounts of AA molecules could lead to toxic effect and limit cell proliferation and matrix production. The cytoprotective activity against oxidative stress was shown to be strongly dependent on AA release, which further determined cell culture performance and tissue reconstruction efficiency. With the optimum AA content in carrier materials, intrastromally implanted cell/cryogel constructs exhibited better capability to enhance tissue matrix regeneration and transparency maintenance as well as to mitigate corneal damage in an alkali burn-induced animal model. It is concluded that understanding of antioxidant molecule-mediated structure-property-function interrelationships in gelatin/AA cryogels is critical to designing carrier materials for potential use in corneal stromal tissue engineering. STATEMENT OF SIGNIFICANCE: Multifunctional cryogel material can offer an ideal hospitable environment for cell-mediated tissue reconstruction. To our knowledge, this is the first report describing the use of gelatin/ascorbic acid (AA) cryogels as keratocyte carriers for corneal stromal tissue engineering. The AA loading during cryogel fabrication is found to have a significant effect on cross-linking degree and pore dimension, mechanical and biological stability, ocular biocompatibility, cell culture performance, and cytoprotective activity, giving comprehensive insight into fine-tuning the structure-property-function interrelationships of keratocyte carrier material. Using an alkali burn-induced animal model, we present evidence that with the optimum AA loading into cryogel materials, intrastromally implanted cell/carrier constructs exhibited better capability to enhance tissue matrix regeneration and transparency maintenance as well as to mitigate corneal damage.",2018,Acta biomaterialia,10.1016/j.actbio.2017.11.018,B3_stroma;D3_full_thickness_multilayer,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0015,29135708,High Permeability and Intercellular Space Widening With Brimonidine Tartrate Eye Drops in Cultured Stratified Human Corneal Epithelial Sheets.,"PURPOSE: To investigate the toxicity of topical glaucoma medications using cultured stratified human corneal epithelial sheets (HCES). METHODS: HCES were exposed for 30 minutes to the following glaucoma medications: 0.1% brimonidine with sodium chlorite as the preservative, 0.005% latanoprost with 0.02% benzalkonium chloride (BAC) as the preservative, and 0.5% timolol with 0.005% BAC as the preservative. Then, cell viability and barrier function were tested by the WST-1 assay and carboxyfluorescein permeability assay, respectively. After exposure to glaucoma medications, HCES were evaluated by hematoxylin and eosin staining, periodic acid-Schiff staining, scanning electron microscopy, and transmission electron microscopy. RESULTS: HCES exposed to brimonidine showed higher viability and better preservation of cell morphology and microvilli compared with cell sheets exposed to latanoprost or timolol. The carboxyfluorescein permeability assay demonstrated that the barrier function was preserved after HCES were exposed to timolol, but not after exposure to brimonidine or latanoprost. Transmission electron microscopy revealed widening of intercellular junctions with prominent deposits of glycogen or mucopolysaccharide (periodic acid-Schiff positive) after exposure of HCES to brimonidine. CONCLUSIONS: The toxicity of 0.1% brimonidine containing sodium chlorite for HCES was lower than that of ophthalmic preparations containing BAC. Reduction of the barrier function occurred after HCES were exposed to brimonidine because of widening of intercellular junctions.",2018,Cornea,10.1097/ICO.0000000000001450,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0016,29176452,Collagen-Based Fillers as Alternatives to Cyanoacrylate Glue for the Sealing of Large Corneal Perforations.,"PURPOSE: To describe the use of collagen-based alternatives to cyanoacrylate glue for the sealing of acute corneal perforations. METHODS: A collagen analog comprising a collagen-like peptide conjugated to polyethylene glycol (CLP-PEG) and its chemical crosslinker were tested for biocompatibility. These CLP-PEG hydrogels, which are designed to act as a framework for corneal tissue regeneration, were then tested as potential fillers in ex vivo human corneas with surgically created full-thickness perforations. Bursting pressures were measured in each of 3 methods (n = 10 for each condition) of applying a seal: 1) cyanoacrylate glue with a polyethylene patch applied ab externo (gold standard); 2) a 100-μm thick collagen hydrogel patch applied ab interno, and 3) the same collagen hydrogel patch applied ab interno supplemented with CLP-PEG hydrogel molded in situ to fill the remaining corneal stromal defect. RESULTS: Cyanoacrylate gluing achieved a mean bursting pressure of 325.9 mm Hg, significantly higher than the ab interno patch alone (46.3 mm Hg) and the ab interno patch with the CLP-PEG filler (86.6 mm Hg). All experimental perforations were sealed effectively using 100 μm hydrogel sheets as an ab interno patch, whereas conventional ab externo patching with cyanoacrylate glue failed to provide a seal in 30% (3/10) cases. CONCLUSIONS: An ab interno patch system using CLP-PEG hydrogels designed to promote corneal tissue regeneration may be a viable alternative to conventional cyanoacrylate glue patching for the treatment of corneal perforation. Further experimentation and material refinement is required in advance of clinical trials.",2018,Cornea,10.1097/ICO.0000000000001459,B3_stroma;D3_full_thickness_multilayer,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0017,29193831,Mimicking corneal stroma using keratocyte-loaded photopolymerizable methacrylated gelatin hydrogels.,"Cell-laden methacrylated gelatin (GelMA) hydrogels with high (approximately 90%) transparency were prepared to mimic the natural form and function of corneal stroma. They were synthesized from GelMA with a methacrylation degree of 70% as determined by nuclear magnetic resonance. Hydrogels were strong enough to withstand handling. Stability studies showed that 87% of the GelMA hydrogels remained after 21 days in phosphate buffered saline (PBS). Cell viability in the first 2 days was over 90% for the human keratocytes loaded in the gels as determined with the live-dead analysis. Cells in the hydrogel elongated and connected to each other as observed by confocal laser scanning microscopy (CLSM) images and scanning electron microscope analysis after 3 weeks in the culture medium and cells were seen to be distributed throughout the hydrogel bulk. Cells were found to synthesize collagen Types I and V, decorin, and biglycan (representative collagens and proteoglycans of human corneal stroma, respectively) showing that keratocytes maintained their functions and preserved their phenotypes in the hydrogels. Transparency of cell-loaded and cell-free hydrogels after 21 days was found to be over 90% at all time points in the visible light range and was comparable to the transparency of the native cornea. The corneal stroma equivalent produced in this study that has cells entrapped in it leads to a product with homogenous distribution of cells. It was transparent at the very beginning and is expected to allow better vision than nontransparent substrates. It, therefore, has a significant potential to be used as an alternative to the current products used to treat corneal blindness.",2018,Journal of tissue engineering and regenerative medicine,10.1002/term.2621,B3_stroma,1,Include,,stroma,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
