screening_id,pmid,title,abstract,year,journal,doi,sources,source_count,decision,exclusion_reason,corneal_layer,priority_level,screening_notes
PUBMED_0002,27863068,Scaffold-free tissue engineering of functional corneal stromal tissue.,"Blinding corneal scarring is predominately treated with allogeneic graft tissue; however, there is a worldwide shortage of donor tissue leaving millions in need of therapy. Human corneal stromal stem cells (CSSC) have been shown produce corneal tissue when cultured on nanofibre scaffolding, but this tissue cannot be readily separated from the scaffold. In this study, scaffold-free tissue engineering methods were used to generate biomimetic corneal stromal tissue constructs that can be transplanted in vivo without introducing the additional variables associated with exogenous scaffolding. CSSC were cultured on substrates with aligned microgrooves, which directed parallel cell alignment and matrix organization, similar to the organization of native corneal stromal lamella. CSSC produced sufficient matrix to allow manual separation of a tissue sheet from the grooved substrate. These constructs were cellular and collagenous tissue sheets, approximately 4 μm thick and contained extracellular matrix molecules typical of corneal tissue including collagen types I and V and keratocan. Similar to the native corneal stroma, the engineered corneal tissues contained long parallel collagen fibrils with uniform diameter. After being transplanted into mouse corneal stromal pockets, the engineered corneal stromal tissues became transparent, and the human CSSCs continued to express human corneal stromal matrix molecules. Both in vitro and in vivo, these scaffold-free engineered constructs emulated stromal lamellae of native corneal stromal tissues. Scaffold-free engineered corneal stromal constructs represent a novel, potentially autologous, cell-generated, biomaterial with the potential for treating corneal blindness. Copyright © 2016 John Wiley & Sons, Ltd.",2018,Journal of tissue engineering and regenerative medicine,10.1002/term.2363,B3_stroma,1,Include,,stroma,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0003,28485528,Bioengineered keratocyte spheroids fabricated on chitosan coatings enhance tissue repair in a rabbit corneal stromal defect model.,"Cultivated cell spheroid transplantation is widely studied as a means of facilitating tissue regeneration. Chitosan biomaterial has been shown to promote keratocyte aggregation and multicellular spheroid formation. This study provides further evidence on application of bioengineered keratocyte spheroids for corneal stromal tissue engineering. In an allogeneic rabbit model of stromal destruction caused by bacterial keratitis, the corneas were intrastromally injected with isolated keratocyte suspensions or aggregated spheroid grafts at same cell number. Results of clinical observations and histological examinations on postoperative day 14 showed that when an antibiotic eye drop is only medication for inhibiting bacterial growth, permanent damage to stroma occurs, leading to disorganization of collagen lamellae and tissue structure as well as loss of corneal transparency and visual function. Intrastromal grafting of keratocytes provided additional benefits to overcome drawbacks of limited disease treatment performance associated with topically applied antibiotics. In particular, as compared to their cell suspension counterparts, bioengineered keratocyte spheroids had higher ability to preserve cellular phenotype, secrete collagen matrix, and enhance graft retention, suggesting excellent repair capability for managing stromal tissue defect and alleviating corneal haze/oedema. In summary, the findings emphasize the role of keratocyte configuration (i.e., two-dimensional monolayer or three-dimensional spheroid) in determining therapeutic potency of cellular allografts for stromal tissue reconstruction. Transplantation of keratocyte spheroids cultured on chitosan substrates may represent a promising strategy for corneal stromal repair.",2018,Journal of tissue engineering and regenerative medicine,10.1002/term.2456,B3_stroma,1,Include,,stroma,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0004,28600807,Multi-layered silk film coculture system for human corneal epithelial and stromal stem cells.,"With insufficient options to meet the clinical demand for cornea transplants, one emerging area of emphasis is on cornea tissue engineering. In the present study, the goal was to combine the corneal stroma and epithelium into one coculture system, to monitor both human corneal stromal stem cell (hCSSC) and human corneal epithelial cell (hCE) growth and differentiation into keratocytes and differentiated epithelium in these three-dimensional tissue systems in vitro. Coculture conditions were first optimized, including the medium, air-liquid interface culture, and surface topography and chemistry of biomaterial scaffold films based on silk protein. The silk was used as scaffolding for both stromal and epithelial tissue layers because it is cell compatible, can be surface patterned, and is optically clear. Next, the effects of proliferating and differentiating hCEs and hCSSCs were studied in this in vitro system, including the effects on cell proliferation, matrix formation by immunochemistry, and gene expression by quantitative reverse transcription-polymerase chain reaction. The incorporation of both cell types into the coculture system demonstrated more complete differentiation and growth for both cell types compared to the corneal stromal cells and corneal epithelial cells alone. Silk films for corneal epithelial culture were optimized to combine a 4.0-μm-scale surface pattern with bulk-loaded collagen type IV. Differentiation of each cell type was in evidence based on increased expression of corneal stroma and epithelial proteins and transcript levels after 6 weeks in coculture on the optimized silk scaffolds.",2018,Journal of tissue engineering and regenerative medicine,10.1002/term.2499,A3_epithelium_limbus,1,Include,,multiple_layers,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0010,29040119,Prospective Clinical Trial of Corneal Reconstruction With Biomaterial-Free Cultured Oral Mucosal Epithelial Cell Sheets.,"PURPOSE: To investigate the efficacy and safety of transplantation with biomaterial-free cultured oral mucosal epithelial cell sheets (COMECs) for ocular reconstruction in subjects with total limbal stem cell deficiency. METHODS: A prospective clinical trial (NCT02149732) was conducted in 8 subjects with total limbal stem cell deficiency after approval from the institutional review board of Seoul National University Hospital (H-0707-043-213) and the Ministry of Food and Drug Safety of Korea. COMECs were prepared in a culture system without the use of any temperature-sensitive polymers or carriers. The COMECs were transplanted without suture fixation. Four subjects underwent penetrating keratoplasty after stabilization of the COMEC transplant. Stable epithelialization, changes in visual acuity, and postoperative complications were evaluated for 6 months. Corneal cytokeratins (K) of 4 subjects who underwent penetrating keratoplasty were stained with an immunofluorescent agent. RESULTS: The ocular surface was successfully reconstructed in 6 eyes. Complete stable epithelialization was achieved within a mean of 53.6 days. Visual improvement (≥2 lines) was achieved in 62.5% of the eyes. K12 (corneal phenotype), K4, and K13 (mucosal phenotype) were well expressed in grafts after keratoplasty, whereas K1, K8, and K19 were barely expressed. No ocular infections, local tumor formation, or remarkable systemic complications were observed. Ocular reconstruction using COMECs failed in 2 eyes, which had full symblepharon in 4 quadrants. CONCLUSIONS: Transplanting biomaterial-free COMECs seems to be an efficient and safe procedure to reconstruct the ocular surface in patients who are completely limbal stem cell deficient without a full symblepharon.",2018,Cornea,10.1097/ICO.0000000000001409,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0015,29135708,High Permeability and Intercellular Space Widening With Brimonidine Tartrate Eye Drops in Cultured Stratified Human Corneal Epithelial Sheets.,"PURPOSE: To investigate the toxicity of topical glaucoma medications using cultured stratified human corneal epithelial sheets (HCES). METHODS: HCES were exposed for 30 minutes to the following glaucoma medications: 0.1% brimonidine with sodium chlorite as the preservative, 0.005% latanoprost with 0.02% benzalkonium chloride (BAC) as the preservative, and 0.5% timolol with 0.005% BAC as the preservative. Then, cell viability and barrier function were tested by the WST-1 assay and carboxyfluorescein permeability assay, respectively. After exposure to glaucoma medications, HCES were evaluated by hematoxylin and eosin staining, periodic acid-Schiff staining, scanning electron microscopy, and transmission electron microscopy. RESULTS: HCES exposed to brimonidine showed higher viability and better preservation of cell morphology and microvilli compared with cell sheets exposed to latanoprost or timolol. The carboxyfluorescein permeability assay demonstrated that the barrier function was preserved after HCES were exposed to timolol, but not after exposure to brimonidine or latanoprost. Transmission electron microscopy revealed widening of intercellular junctions with prominent deposits of glycogen or mucopolysaccharide (periodic acid-Schiff positive) after exposure of HCES to brimonidine. CONCLUSIONS: The toxicity of 0.1% brimonidine containing sodium chlorite for HCES was lower than that of ophthalmic preparations containing BAC. Reduction of the barrier function occurred after HCES were exposed to brimonidine because of widening of intercellular junctions.",2018,Cornea,10.1097/ICO.0000000000001450,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0017,29193831,Mimicking corneal stroma using keratocyte-loaded photopolymerizable methacrylated gelatin hydrogels.,"Cell-laden methacrylated gelatin (GelMA) hydrogels with high (approximately 90%) transparency were prepared to mimic the natural form and function of corneal stroma. They were synthesized from GelMA with a methacrylation degree of 70% as determined by nuclear magnetic resonance. Hydrogels were strong enough to withstand handling. Stability studies showed that 87% of the GelMA hydrogels remained after 21 days in phosphate buffered saline (PBS). Cell viability in the first 2 days was over 90% for the human keratocytes loaded in the gels as determined with the live-dead analysis. Cells in the hydrogel elongated and connected to each other as observed by confocal laser scanning microscopy (CLSM) images and scanning electron microscope analysis after 3 weeks in the culture medium and cells were seen to be distributed throughout the hydrogel bulk. Cells were found to synthesize collagen Types I and V, decorin, and biglycan (representative collagens and proteoglycans of human corneal stroma, respectively) showing that keratocytes maintained their functions and preserved their phenotypes in the hydrogels. Transparency of cell-loaded and cell-free hydrogels after 21 days was found to be over 90% at all time points in the visible light range and was comparable to the transparency of the native cornea. The corneal stroma equivalent produced in this study that has cells entrapped in it leads to a product with homogenous distribution of cells. It was transparent at the very beginning and is expected to allow better vision than nontransparent substrates. It, therefore, has a significant potential to be used as an alternative to the current products used to treat corneal blindness.",2018,Journal of tissue engineering and regenerative medicine,10.1002/term.2621,B3_stroma,1,Include,,stroma,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0018,29207049,Coordinated microRNA/mRNA expression profiles reveal a putative mechanism of corneal epithelial cell transdifferentiation from skin epidermal stem cells.,"Skin epidermal stem cells (SESCs), which share a single origin with corneal epithelial cells (CECs), are considered to be one of the most ideal seed cells for the construction of tissue engineered corneas. However, the mechanism underlying the transdifferentiation of SESCs to CECs has not been fully elucidated. In the present study, to identify critical microRNAs (miRNAs/miRs) and genes that regulate the transdifferentiation of SESCs to CECs, SESCs and CECs were collected from sheep and used for small RNA sequencing and mRNA microarray analyses. Among the differentially expressed miRNAs and genes, 36 miRNAs were downregulated and 123 genes were upregulated in the CECs compared with those in the SESCs. miR‑10b exhibited the largest change in expression between the cell types. Target genes of the 36 downregulated miRNAs were predicted and a computational approach demonstrated that these target genes may be involved in several signaling pathways, including the 'PI3K signaling pathway', the 'Wnt signaling pathway' and the 'MAPK signaling pathway', as well as in 'focal adhesion'. Comparison of these target genes to the 123 upregulated genes identified 43 intersection genes. A regulatory network of these 43 intersection genes and its correlative miRNAs were constructed, and three genes (dedicator of cytokinesis 9, neuronal differentiation 1 and activated leukocyte cell adhesion molecule) were found to have high interaction frequencies. The expression levels of 7 randomly selected miRNAs and the 3 intersection genes were further validated by reverse transcription-quantitative polymerase chain reaction. It was found that miR‑10b, the Wnt signaling pathway and the 3 intersection genes may act together and serve a critical role in the transdifferentiation process. This study identified miRNAs and genes that were expressed in SESCs and CECs that may assist in uncovering its underlying molecular mechanism, as well as promote corneal tissue engineering using epidermal stem cells for clinical applications.",2018,International journal of molecular medicine,10.3892/ijmm.2017.3304,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0021,29281419,Electro-spun Membranes as Scaffolds for Human Corneal Endothelial Cells.,"BACKGROUND: Corneal endothelial dysfunction remains the most frequent indication for corneal transplantation, limited by donor material shortage, poor long-term graft survival, or allogeneic graft rejection. Therefore, tissue-engineered endothelial grafts (TEEG) represent a promising alternative to human donor tissue. In this study, we generated electro-spun scaffolds and tested these for their suitability for human corneal endothelial cell (hCEC) cultivation. METHODS: The polymers poly(methyl-methacrylate) (PMMA), poly(lactic-co-glycolic acid) (PLGA), and polycaprolactone (PCL) were spun with equal parameters. HCEC-12 was cultured on the scaffolds for 3 to 7 days. Scaffolds were evaluated by light microscopy, porometry, light transmission, scanning electron microscopy (SEM), live/dead staining and cell viability assay. RESULTS: Electro-spun fibers from PMMA (2.99 ± 0.24 µm) showed significantly higher diameters than PCL (2.29 ± 0.11 µm; p = 0.003) and PLGA (1.84 ± 0.21 µm; p < 0.001), while fibers from PCL also showed larger diameters than those from PLGA (p = 0.002). PMMA scaffolds (26.77 ± 17.48 µm) had significantly larger interstitial spaces than those from PCL (13.30 ± 5.47 µm; p = 0.04) and PLGA (10.42 ± 6.15 µm; p = 0.002), while PCL and PLGA did not differ significantly (p = 0.26). SEM analysis revealed that only PLGA fibers preserved a normal HCEC-12 morphology. PLGA and PCL did not differ in cell number, death, or viability after 7 days of HCEC-12 cultivation. PMMA showed significantly higher cytotoxicity (p < 0.001; PLGA: 1626.2 ± 183.8 RLU; PMMA: 841.9 ± 92.7 RLU; PCL: 1580.2 ± 171.02 RLU). CONCLUSIONS: The biodegradable PLGA and PCL electro-spun scaffolds resulted in equal biocompatibility, while PMMA showed cytotoxicity. Only PLGA preserved hCEC morphology and consequently seems to be a promising candidate for TEEG construction.",2018,Current eye research,10.1080/02713683.2017.1377258,D3_full_thickness_multilayer,1,Include,,endothelium,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0024,29306866,Mechanical stress potentiates the differentiation of periodontal ligament stem cells into keratocytes.,"AIMS: To explore the role of corneal-shaped static mechanical strain on the differentiation of human periodontal ligament stem cells (PDLSCs) into keratocytes and the possible synergistic effects of mechanics and inducing medium. METHODS: PDLSCs were exposed to 3% static dome-shaped mechanical strain in a Flexcell Tension System for 3 days and 7 days. Keratocyte phenotype was determined by gene expression of keratocyte markers. Keratocyte differentiation (inducing) medium was introduced in the Flexcell system, either continuously or intermittently combined with mechanical stimulation. The synergistic effects of mechanics and inducing medium on keratocyte differentiation was evaluated by gene and protein expression of keratocyte markers. Finally, a multilamellar cell sheet was assembled by seeding PDLSCs on a collagen membrane and inducing keratocyte differentiation. The transparency of the cell sheet was assessed, and typical markers of native human corneal stroma were evaluated by immunofluorescence staining. RESULTS: Dome-shaped mechanical stimulation promoted PDLSCs to differentiate into keratocytes, as shown by the upregulation of ALDH3A1, CD34, LUM, COL I and COL V. The expression of integrins were also upregulated after mechanical stimulation, including integrin alpha 1, alpha 2, beta 1 and non-muscle myosin II B. A synergistic effect of mechanics and inducing medium was found on keratocyte differentiation. The cell sheets were assembled under the treatment of mechanics and inducing medium simultaneously. The cell sheets were transparent, multilamellar and expressed typical markers of corneal stroma. CONCLUSION: Dome-shaped mechanical stimulation promotes differentiation of PDLSCs into keratocytes and has synergistic effects with inducing medium. Multilamellar cell sheets that resemble native human corneal stroma show potential for future clinical applications.",2018,The British journal of ophthalmology,10.1136/bjophthalmol-2017-311150,B3_stroma,1,Include,,stroma,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0030,29392398,Generation and characterisation of decellularised human corneal limbus.,"PURPOSE: Limbal epithelial stem cells (LESC) reside in a niche in the corneo-scleral transition zone. Deficiency leads to pain, corneal opacity, and eventually blindness. LESC transplantation of ex-vivo expanded human LESC on a carrier such as human amniotic membrane is a current treatment option. We evaluated decellularised human limbus (DHL) as a potential carrier matrix for the transplantation of LESC. METHODS: Human corneas were obtained from the local eye bank. The limbal tissue was decellularised by sodium desoxychelate and DNase solution and sterilised by γ-irradiation. Native limbus- and DHL-surface structures were assessed by scanning electron microscopy and collagen ultrastructure using transmission electron microscopy. Presence and preservation of limbal basement membrane proteins in native limbus and DHL were analysed immunohistochemically. Absence of DNA after decellularisation was assessed by Feulgen staining and DNA quantification. Presence of immune cells was explored by CD45 staining, and potential cytotoxicity was tested using a cell viability assay. RESULTS: In the DHL, the DNA content was reduced from 1.5 ± 0.3 μg/mg to 0.15 ± 0.01 μg/mg; the three-dimensional structure and the arrangement of the collagen fibrils were preserved. Main basement membrane proteins such as collagen IV, laminin, and fibronectin were still present after decellularisation and γ-irradiation. CD45-expressing cells were evident neither in the native limbus nor in the DHL. DHL did not convey cytotoxicity. CONCLUSIONS: The extracellular matrix (ECM) of the limbus provides a tissue specific morphology and three-dimensionality consisting of particular ECM proteins. It therefore represents a substantial component of the stem cell niche. The DHL provides a specific limbal niche surrounding, and might serve as an easily producible carrier matrix for LESC transplantation.",2018,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,10.1007/s00417-018-3904-1,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
