screening_id,pmid,title,abstract,year,journal,doi,sources,source_count,decision,exclusion_reason,corneal_layer,priority_level,screening_notes,epithelium_limbus_relevance_score,epithelium_limbus_relevance_terms,recommended_action,strict_epithelium_limbus_decision,strict_epithelium_limbus_reason
PUBMED_0010,29040119,Prospective Clinical Trial of Corneal Reconstruction With Biomaterial-Free Cultured Oral Mucosal Epithelial Cell Sheets.,"PURPOSE: To investigate the efficacy and safety of transplantation with biomaterial-free cultured oral mucosal epithelial cell sheets (COMECs) for ocular reconstruction in subjects with total limbal stem cell deficiency. METHODS: A prospective clinical trial (NCT02149732) was conducted in 8 subjects with total limbal stem cell deficiency after approval from the institutional review board of Seoul National University Hospital (H-0707-043-213) and the Ministry of Food and Drug Safety of Korea. COMECs were prepared in a culture system without the use of any temperature-sensitive polymers or carriers. The COMECs were transplanted without suture fixation. Four subjects underwent penetrating keratoplasty after stabilization of the COMEC transplant. Stable epithelialization, changes in visual acuity, and postoperative complications were evaluated for 6 months. Corneal cytokeratins (K) of 4 subjects who underwent penetrating keratoplasty were stained with an immunofluorescent agent. RESULTS: The ocular surface was successfully reconstructed in 6 eyes. Complete stable epithelialization was achieved within a mean of 53.6 days. Visual improvement (≥2 lines) was achieved in 62.5% of the eyes. K12 (corneal phenotype), K4, and K13 (mucosal phenotype) were well expressed in grafts after keratoplasty, whereas K1, K8, and K19 were barely expressed. No ocular infections, local tumor formation, or remarkable systemic complications were observed. Ocular reconstruction using COMECs failed in 2 eyes, which had full symblepharon in 4 quadrants. CONCLUSIONS: Transplanting biomaterial-free COMECs seems to be an efficient and safe procedure to reconstruct the ocular surface in patients who are completely limbal stem cell deficient without a full symblepharon.",2018,Cornea,10.1097/ICO.0000000000001409,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",4,carrier; sheet; construct; limbal; limbal stem; ocular surface; k12; rat; transplantation; clinical,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.
PUBMED_0015,29135708,High Permeability and Intercellular Space Widening With Brimonidine Tartrate Eye Drops in Cultured Stratified Human Corneal Epithelial Sheets.,"PURPOSE: To investigate the toxicity of topical glaucoma medications using cultured stratified human corneal epithelial sheets (HCES). METHODS: HCES were exposed for 30 minutes to the following glaucoma medications: 0.1% brimonidine with sodium chlorite as the preservative, 0.005% latanoprost with 0.02% benzalkonium chloride (BAC) as the preservative, and 0.5% timolol with 0.005% BAC as the preservative. Then, cell viability and barrier function were tested by the WST-1 assay and carboxyfluorescein permeability assay, respectively. After exposure to glaucoma medications, HCES were evaluated by hematoxylin and eosin staining, periodic acid-Schiff staining, scanning electron microscopy, and transmission electron microscopy. RESULTS: HCES exposed to brimonidine showed higher viability and better preservation of cell morphology and microvilli compared with cell sheets exposed to latanoprost or timolol. The carboxyfluorescein permeability assay demonstrated that the barrier function was preserved after HCES were exposed to timolol, but not after exposure to brimonidine or latanoprost. Transmission electron microscopy revealed widening of intercellular junctions with prominent deposits of glycogen or mucopolysaccharide (periodic acid-Schiff positive) after exposure of HCES to brimonidine. CONCLUSIONS: The toxicity of 0.1% brimonidine containing sodium chlorite for HCES was lower than that of ophthalmic preparations containing BAC. Reduction of the barrier function occurred after HCES were exposed to brimonidine because of widening of intercellular junctions.",2018,Cornea,10.1097/ICO.0000000000001450,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",4,sheet; corneal epithelial; barrier; cell viability; rat,Add to core candidate,Manual check,"Likely relevant, but reconstruction/regeneration signal is not strong enough for automatic addition."
PUBMED_0030,29392398,Generation and characterisation of decellularised human corneal limbus.,"PURPOSE: Limbal epithelial stem cells (LESC) reside in a niche in the corneo-scleral transition zone. Deficiency leads to pain, corneal opacity, and eventually blindness. LESC transplantation of ex-vivo expanded human LESC on a carrier such as human amniotic membrane is a current treatment option. We evaluated decellularised human limbus (DHL) as a potential carrier matrix for the transplantation of LESC. METHODS: Human corneas were obtained from the local eye bank. The limbal tissue was decellularised by sodium desoxychelate and DNase solution and sterilised by γ-irradiation. Native limbus- and DHL-surface structures were assessed by scanning electron microscopy and collagen ultrastructure using transmission electron microscopy. Presence and preservation of limbal basement membrane proteins in native limbus and DHL were analysed immunohistochemically. Absence of DNA after decellularisation was assessed by Feulgen staining and DNA quantification. Presence of immune cells was explored by CD45 staining, and potential cytotoxicity was tested using a cell viability assay. RESULTS: In the DHL, the DNA content was reduced from 1.5 ± 0.3 μg/mg to 0.15 ± 0.01 μg/mg; the three-dimensional structure and the arrangement of the collagen fibrils were preserved. Main basement membrane proteins such as collagen IV, laminin, and fibronectin were still present after decellularisation and γ-irradiation. CD45-expressing cells were evident neither in the native limbus nor in the DHL. DHL did not convey cytotoxicity. CONCLUSIONS: The extracellular matrix (ECM) of the limbus provides a tissue specific morphology and three-dimensionality consisting of particular ECM proteins. It therefore represents a substantial component of the stem cell niche. The DHL provides a specific limbal niche surrounding, and might serve as an easily producible carrier matrix for LESC transplantation.",2018,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,10.1007/s00417-018-3904-1,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",4,carrier; membrane; amniotic membrane; limbal; lesc; cell viability; rat; transplantation,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.
PUBMED_0053,29678720,A completely human-derived biomaterial mimicking limbal niche: Platelet-rich fibrin gel.,"Platelet-rich fibrin (PRF) is a natural biomaterial and has excellent biochemical and physical properties with a history of proven biocompatibility in the field of tissue engineering and regenerative medicine. Recent reports of fibrin-based matrices have offered new opportunities to apply PRF as a supplement for in vitro cell culture. Here, custom-modified human-derived PRF (HPRF) was produced via different centrifugation protocols, then, characterized by morphologically and chemically and utilized as a substrate and as a conditioned medium for limbal explant culture for the first time. It was found that the HPRF released significantly higher levels of growth factors which are essential for epithelial cell growth. The enhanced physicochemical properties of the HPRF were also proven in the limbal explant cultures in terms of cell growth, migration, viability, and stemness in comparison with the conventional limbal explant culture on human-derived amniotic membrane. Consequently, HPRF hydrogels are appealing natural biomaterials for the purpose of mimicking limbal niche and the discovery elucidates this new, xeno-chemical-free, completely human-derived biomaterial can be utilized as a supplement to promote epithelial cell behaviour in vitro.",2018,Experimental eye research,10.1016/j.exer.2018.04.013,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",4,substrate; membrane; hydrogel; limbal; epithelial cell; migration; rat,Add to core candidate,Manual check,"Likely relevant, but reconstruction/regeneration signal is not strong enough for automatic addition."
PUBMED_0056,29691018,Carboxymethyl chitosan/gelatin/hyaluronic acid blended-membranes as epithelia transplanting scaffold for corneal wound healing.,"There is an unmet need for an optimal scaffold as cell transplantation carrier to induce corneal reconstruction. In this study, a blend membrane was prepared with carboxymethyl chitosan (CMCTS), gelatin, and hyaluronic acid. To investigate its cytocompatibility, primary rabbit corneal epithelial cells (CEpCs) were seeded on it and growth and proliferation were evaluated. The blend membrane was found to be transparent, biodegradable, and suitable for CEpCs attachment and proliferation, which could maintain the epithelial cell-like protein expression of CEpCs. The combination of CEpCs and CMCTS-blended membrane (CEpCs/CMCTS membrane) was used to treat alkali-induced corneal damage in rabbits and healing effects were evaluated by visual observation, slit lamp, hematoxylin-eosin and immunofluorescence staining. CEpCs/CMCTS membrane could improve corneal epithelial reconstruction significantly and restore cornea transparency and thickness. Hence, this combination treatment may serve as a rapid and effective way for corneal wound healing.",2018,Carbohydrate polymers,10.1016/j.carbpol.2018.03.033,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",4,scaffold; carrier; membrane; corneal epithelial; epithelial cell; wound healing; transparency; rabbit; rat; transplantation,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.
PUBMED_0084,30114356,Surface-Functionalized Model Contact Lenses with a Bioinspired Proteoglycan 4 (PRG4)-Grafted Layer.,"Ocular dryness and discomfort are the primary reasons for the discontinuation of contact lens wear. This is mainly due to poorly hydrated contact lens surfaces and increased friction, particularly at the end of the day and can potentially cause reduced vision or even inflammation. Proteoglycan 4 (PRG4) is a mucinous glycoprotein with boundary lubricating properties, naturally found in the eye, able to prevent tear film evaporation and protect the ocular surface during blinking. Aiming to improve the interfacial interactions between the ocular surface and the contact lens, the synthesis and characterization of surface-modified model contact lenses with PRG4 is described. Full-length recombinant human PRG4 (rhPRG4) was successfully grafted onto the surface of model conventional and silicone hydrogel (SiHy) contact lenses via its somatomedin B-like end-domain using N, N'-carbonyldiimidazole linking chemistry. Grafting was assessed by Fourier transform infrared spectroscopy-attenuated total reflectance, X-ray photoelectron spectroscopy, and radioactive (I(131)) labeling. Surface immobilization of rhPRG4 led to model conventional and SiHy materials with improved antifouling properties, without impacting optical transparency or causing any toxic effects to human corneal epithelial cells in vitro. The surface wettability and the boundary friction against human corneal tissue were found to be substrate-dependent, with only the rhPRG4-grafted model SiHy exhibiting a reduced contact angle and kinetic friction coefficient compared to the unmodified surfaces. Hence, clinical grade rhPRG4 can be an attractive candidate for the development of novel bioinspired SiHy contact lenses, providing improved comfort and overall lens performance.",2018,ACS applied materials & interfaces,10.1021/acsami.8b09755,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",4,substrate; hydrogel; film; corneal epithelial; ocular surface; epithelial cell; transparency; rat; clinical,Add to core candidate,Exclude/background,Contact lens surface-modification study; not core corneal tissue-engineering scaffold evidence.
PUBMED_0099,30279555,Comparative study of substrate free and amniotic membrane scaffolds for cultivation of limbal epithelial sheet.,"Transplantation of cultivated limbal epithelial transplantation has been proven to restore the corneal surface in limbal stem cell deficiency (LSCD). Here we comparatively investigated the optimized conditions and the efficiency of limbal epithelial sheet growth in three media conditions as well as with substrate free (transwell), human amniotic membrane (HAM) sutured onto transwell inserts (HAMTW), and HAM slide scaffold (HAMS). Outcomes evaluated were outgrowth sheet size from limbal explants, expression of stem/progenitor cell markers p63α, ABCG2 and CK15, and colony formation efficiency (CFE). Additionally, limbal epithelial sheets on HAMS were transplanted into corneas of LSCD rabbit models. Limbal epithelial sheets with 5% human AB serum showed the greatest increase in ABCG2 efflux activity (JC1(low)), p63α expression, and CFE compared in both conditions without HAM and with HAM, respectively. The outgrowth sheet size, cell yield, and Ki67 expression were increased in limbal epithelial sheets on HAMS compared to transwell and HAMTW. ABCG2 efflux activity, p63α and CK15 expressions, and CFE were also increased in limbal epithelial sheets on HAMS as well. In corneas of transplanted rabbit LSCD models, p63α expressions were noted in the basal layers and CK12 expressions were observed in superficial layers. Cultivation of limbal epithelial sheet on HAMS with xeno-free medium enhances the growth and stemness of limbal epithelial sheets.",2018,Scientific reports,10.1038/s41598-018-32914-0,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",4,scaffold; substrate; membrane; limbal; limbal stem; lsc; p63; k12; abcg2; rabbit; rat; transplantation,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.
PUBMED_0105,30337966,Evaluation of an Improved Chitosan Scaffold Cross-Linked With Polyvinyl Alcohol and Amine Coupling Through 1-Ethyl-3-(3-Dimethyl Aminopropyl)-Carbodiimide (EDC) and 2 N-Hydroxysuccinimide (NHS) for Corneal Applications.,"BACKGROUND: Corneal blindness resulting from various medical conditions affects millions worldwide. The rapid developing tissue engineering field offers design of a scaffold with mechanical properties and transparency similar to that of the natural cornea. AIM: The present study aimed at to prepare and investigate the properties of PVA/chitosan blended scaffold by further cross-linking with 1-Ethyl-3-(3-dimethyl aminopropyl)-carbodiimide (EDC) and 2 N-Hydroxysuccinimide (NHS) as potential in vitro carrier for human limbal stem cells delivery. MATERIAL AND METHODS: Acetic acid dissolved chitosan was added to PVA solution, uniformly mixed with a homogenizer until the mixture was in a colloidal state, followed by H(2)SO(4) and formaldehyde added and the sample was allowed to cool, subsequently it was poured into a tube and heated in an oven at 60°C for 50 minutes. Finally, samples were soaked in a cross-linking bath with EDC, NHS and NaOH in H(2)O/EtOH for 24 h consecutively stirred to cross-link the polymeric chains, reduce degradation. After soaking in the bath, the samples were carefully washed with 2% glycine aqueous solution several times to remove the remaining amount of cross-linkers, followed by washed with water to remove residual agents. Later the cross-linked scaffold subjected for various characterization and biological experiments. RESULTS: After viscosity measurement, the scaffold was observed by Fourier transform infrared (FT-IR). The water absorbency of PVA/Chitosan was increased 361% by swelling. Compression testing demonstrated that by increasing the amount of chitosan, the strength of the scaffold could be increased to 16×10-1 MPa. Our degradation results revealed by mass loss using equation shows that scaffold degraded gradually imply slow degradation. In vitro tests showed good cell proliferation and growth in the scaffold. Our assay results confirmed that the membrane could increase the cells adhesion and growth on the substrate. CONCLUSION: Hence, we strongly believe the use of this improved PVA/chitosan scaffold has potential to cut down the disadvantages of the human amniotic membrane (HAM) for corneal epithelium in ocular surface surgery and greater mechanical strength in future after successful experimentation with clinical trials.",2018,Open access Macedonian journal of medical sciences,10.3889/oamjms.2018.322,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",4,scaffold; carrier; substrate; corneal epithelium; limbal; limbal stem; transparency; rat; clinical,Add to core candidate,Manual check,"Likely relevant, but reconstruction/regeneration signal is not strong enough for automatic addition."
PUBMED_0119,30537839,Impact of a Hyaluronic Acid-Grafted Layer on the Surface Properties of Model Silicone Hydrogel Contact Lenses.,"The introduction of high oxygen transmissibility silicone hydrogel lenses ameliorated hypoxia-related complications, making them the most prescribed type of contact lens (CL). Despite the progress made over the last 2 decades to improve their clinical performance, symptoms of ocular dryness and discomfort and a variety of adverse clinical events are still reported. Consequently, the rate of CL wear discontinuation has not been appreciably diminished by their introduction. Aiming to improve the interfacial interactions of silicone hydrogel CLs with the ocular surface, a biomimetic layer of hydrophilic glycosaminoglycan hyaluronic acid (HA) (100 kDa) was covalently attached to the surface of model poly(2-hydroxyethyl methacrylate- co-3-methacryloxypropyl-tris-(trimethylsiloxy)silane) (pHEMA- co-TRIS) silicone hydrogel materials via UV-induced thiol-ene ""click"" chemistry. The surface structural changes after each modification step were studied by Fourier transform infrared spectroscopy-attenuated total reflectance and X-ray photoelectron spectroscopy (XPS). Successful grafting of a homogeneous HA layer to the surface of the model silicone hydrogels was confirmed by the consistent appearance of N (1s) and the significant decrease of the Si (2p) peaks, as determined by low-resolution angle-resolved XPS. The HA-grafted surfaces demonstrated reduced contact angles, dehydration rate, and nonspecific deposition of lysozyme and albumin, while maintaining their optical transparency (>90%). In vitro studies demonstrated that the HA-grafted pHEMA- co-TRIS materials did not show any toxicity to human corneal epithelial cells. These results suggest that surface immobilization of HA via thiol-ene ""click"" chemistry can be used as a promising surface treatment for silicone hydrogel CLs.",2019,Langmuir : the ACS journal of surfaces and colloids,10.1021/acs.langmuir.8b01693,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",4,hydrogel; contact lens; corneal epithelial; ocular surface; epithelial cell; transparency; rat; clinical,Add to core candidate,Exclude/background,Contact lens surface-property study; not core tissue-engineering evidence.
PUBMED_0120,30548137,An in situ hydrogel based on carboxymethyl chitosan and sodium alginate dialdehyde for corneal wound healing after alkali burn.,"There is currently no optimal scaffold for the transplantation of limbal stem cells (LSCs) to induce corneal reconstruction after corneal alkali burns. This study attempts to fabricate a novel in situ Alginate-Chitosan hydrogel (ACH) for LSCs transplantation. Sodium alginate dialdehyde (SAD), a biological crosslinker, was prepared by periodate-mediated sodium alginate oxidization. Carboxymethyl chitosan was rapidly crosslinked with SAD via Schiff's base formation between the available aldehyde and amino groups. The ACH is rapidly formed on the wound surface by self-crosslinking without adding any chemical crosslinking component. Gelation time, transmittance, microscopic structure, equilibrium swelling, cytotoxicity, histocompatibility and degradability of the hydrogel were all examined. Rabbit primary LSCs were encapsulated in the hydrogel and transplanted to alkali burn wounds in vivo. Cornea reconstruction was evaluated by visual observation, slit lamp, histological analysis, and immunofluorescence staining. Results showed that the in situ hydrogel was highly transparent, gelated quickly, biocompatible, and had low cytotoxicity. LSCs cultured in vitro expressed the stem marker p63 but lacked the differentiated epithelial markers cytokeratin 3 and 12. Furthermore, the hydrogel encapsulating LSCs could be formed quickly on the alkali burn wound of the cornea and was shown to significantly improve epithelial reconstruction. Taken together, treatment with this novel in situ hydrogel-mediated LSC transplantation system may serve as a rapid and effective method for corneal wound healing. © 2018 The Authors. Journal of Biomedical Materials Research Part A published by Wiley Periodicals, Inc. J Biomed Mater Res Part A: 107A: 742-754, 2019.",2019,Journal of biomedical materials research. Part A,10.1002/jbm.a.36589,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",4,scaffold; hydrogel; construct; limbal; limbal stem; lsc; wound healing; p63; rabbit; rat; in vivo,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.
