screening_id,pmid,title,upstream_corneal_layer,suggested_layer,dominant_score,upstream_score,confidence,confirmed_layer_correction,term_scores
PUBMED_0073,29978836,Decellularized corneal lenticule embedded compressed collagen: toward a suturable collagenous construct for limbal reconstruction.,multiple_layers,epithelium_limbus,12,0,high,epithelium_limbus,"{'epithelium_limbus': 12, 'stroma': 1}"
PUBMED_0175,31349505,Compressed collagen intermixed with cornea-derived decellularized extracellular matrix providing mechanical and biochemical niches for corneal stroma analogue.,multiple_layers,stroma,9,0,lower,,"{'epithelium_limbus': 1, 'stroma': 9}"
PUBMED_0196,31514545,Development and Characterization of an Acellular Porcine Small Intestine Submucosa Scaffold for Use in Corneal Epithelium Tissue Engineering.,multiple_layers,epithelium_limbus,9,0,lower,,"{'epithelium_limbus': 9, 'stroma': 1}"
PUBMED_0317,32743953,Sustained Release of TPCA-1 from Silk Fibroin Hydrogels Preserves Keratocyte Phenotype and Promotes Corneal Regeneration by Inhibiting Interleukin-1β Signaling.,multiple_layers,stroma,10,0,high,stroma,"{'epithelium_limbus': 1, 'stroma': 10}"
PUBMED_0329,32841745,Decellularized porcine cornea-derived hydrogels for the regeneration of epithelium and stroma in focal corneal defects.,multiple_layers,epithelium_limbus,7,0,lower,,"{'endothelium': 1, 'epithelium_limbus': 7, 'stroma': 7}"
PUBMED_0365,33288782,Deciphering the mechanoresponsive role of β-catenin in keratoconus epithelium.,multiple_layers,epithelium_limbus,12,0,high,epithelium_limbus,"{'epithelium_limbus': 12, 'stroma': 1}"
PUBMED_0453,34400306,Hydrogels derived from acellular porcine corneal stroma enhance corneal wound healing.,multiple_layers,stroma,11,0,high,stroma,"{'endothelium': 1, 'epithelium_limbus': 5, 'stroma': 11}"
PUBMED_0521,35120168,Bio-fabrication of stem-cell-incorporated corneal epithelial and stromal equivalents from silk fibroin and gelatin-based biomaterial for canine corneal regeneration.,multiple_layers,stroma,7,0,lower,,"{'epithelium_limbus': 6, 'stroma': 7}"
PUBMED_0585,36063670,Reconstructing auto tissue engineering lamellar cornea with aspartic acid modified acellular porcine corneal stroma and preconditioned limbal stem cell for corneal regeneration.,multiple_layers,epithelium_limbus,8,0,lower,,"{'epithelium_limbus': 8, 'stroma': 5}"
PUBMED_0606,36497012,Transcriptomic Landscape and Functional Characterization of Human Induced Pluripotent Stem Cell-Derived Limbal Epithelial Progenitor Cells.,multiple_layers,epithelium_limbus,13,1,high,epithelium_limbus,"{'endothelium': 1, 'epithelium_limbus': 13, 'multiple_layers': 1}"
PUBMED_0637,36844364,"A ""T.E.S.T."" hydrogel bioadhesive assisted by corneal cross-linking for in situ sutureless corneal repair.",multiple_layers,stroma,4,0,lower,,"{'epithelium_limbus': 2, 'stroma': 4}"
PUBMED_0648,37019117,Digital light processing-bioprinted poly-NAGA-GelMA-based hydrogel lenticule for precise refractive errors correction.,multiple_layers,stroma,6,0,lower,,"{'endothelium': 1, 'epithelium_limbus': 1, 'stroma': 6}"
PUBMED_0802,39075142,A novel tissue-engineered corneal epithelium based on ultra-thin amniotic membrane and mesenchymal stem cells.,multiple_layers,epithelium_limbus,24,0,high,epithelium_limbus,"{'epithelium_limbus': 24, 'stroma': 1}"
PUBMED_0814,39197237,Corneal stromal structure replicating humanized hydrogel patch for sutureless repair of deep anterior-corneal defect.,multiple_layers,stroma,8,0,lower,,"{'epithelium_limbus': 2, 'stroma': 8}"
