screening_id,pmid,title,abstract,year,journal,doi,sources,source_count,decision,exclusion_reason,corneal_layer,priority_level,screening_notes
PUBMED_0007,29023312,Prediction of Descemet Membrane Perforation During Deep Anterior Lamellar Keratoplasty in Patients With Keratoconus With Stromal Scar.,"OBJECTIVES: To report big-bubble deep anterior lamellar keratoplasty (DALK) in patients with keratoconus with corneal stromal scar, and to investigate factors that can influence intraoperative Descemet membrane (DM) perforation. METHODS: A retrospective study included patients with keratoconus with central stromal scar that underwent DALK using the big-bubble technique. Best spectacle-corrected visual acuity (BSCVA), keratometry, minimum corneal thickness (MCT), stromal scar depth, and endothelial cell density (ECD) were recorded. Receiver operating characteristic (ROC) curves were analyzed to predict an intraoperative perforation related to stromal scar. RESULTS: Thirty-eight eyes of 38 patients with keratoconus (mean age: 30.0±9.2 years) were included in this study. Thirty-four eyes had successful DALK; in four eyes, the procedure was converted to penetrating keratoplasty because of DM macroperforations. Successful big-bubble formation was achieved in 24 of 38 (63.2%) eyes, whereas in 10 eyes, manual dissection was used to complete the DALK. Mean preoperative and postoperative second year BSCVA were 1.3 (±0.4) and 0.5 (±0.2) logarithm of the minimum angle of resolution (P<0.001), keratometry values were 65.5±7.4 and 42.8±7.8 diopters (P<0.001), and ECD were 2,740±359 and 2,279±452 cells/mm (P<0.001), respectively. Using ROC analysis, the area under curve value to predict DM perforation was found to be 0.792 (scar/MCT ratio, P=0.04) and the best cutoff point for scar depth/MCT ratio was 53%. CONCLUSION: Big-bubble DALK is effective in patients with keratoconus with stromal scars. Scar depth/MCT ratio seems to predict the DM perforation.",2018,Eye & contact lens,10.1097/ICL.0000000000000434,C4_endothelium,1,Exclude,General ophthalmology/no engineering content,stroma,,"Corrected exclude: routine clinical/surgical keratoplasty, DMEK/DSAEK/DALK, imaging, outcome, or complication paper without clear biomaterial/scaffold/tissue-engineering construct relevance."
PUBMED_0009,29040116,Air Versus Sulfur Hexafluoride Gas Tamponade in Descemet Membrane Endothelial Keratoplasty: A Fellow Eye Comparison.,"PURPOSE: To perform a fellow eye comparison of outcomes and complications when using air or sulfur hexafluoride (SF6) gas as a tamponade in Descemet membrane endothelial keratoplasty (DMEK). METHODS: One hundred thirty-six eyes of 68 consecutive patients who underwent uneventful DMEK in both eyes for Fuchs endothelial corneal dystrophy were included in this retrospective study. Inclusion criteria were air tamponade (80% of the anterior chamber volume) in the first eye and 20% SF6 gas tamponade (80% of the anterior chamber volume) in the second eye; and same donor tissue culture condition in both eyes. All eyes received laser iridotomy on the day before DMEK. Main outcome measures included preoperative and postoperative best-corrected visual acuity, endothelial cell density, corneal volume, rebubbling rate, and rate of postoperative pupillary block caused by the air/gas bubble. RESULTS: Thirteen of 68 eyes (19.1%) with an air tamponade needed rebubbling compared with 4 of 68 eyes (5.9%) with an SF6 gas tamponade (P = 0.036). Postoperative pupillary block necessitating partial release of air/gas occurred in 1 eye (1.5%) with an air tamponade and 3 eyes (4.4%) with an SF6 gas tamponade (P = 0.301). There were no significant differences in preoperative and postoperative best-corrected visual acuity, endothelial cell density, and corneal volume within 3-month follow-up. CONCLUSIONS: Our results confirm the previously reported better graft adhesion when using an SF6 gas tamponade in DMEK without increased endothelial cell toxicity. The rate of pupillary block in eyes with an SF6 gas tamponade was comparable to that with an air tamponade. As a consequence, we recommend using SF6 gas as the tamponade in DMEK.",2018,Cornea,10.1097/ICO.0000000000001413,C4_endothelium,1,Exclude,General ophthalmology/no engineering content,endothelium,,"Corrected exclude: routine clinical/surgical keratoplasty, DMEK/DSAEK/DALK, imaging, outcome, or complication paper without clear biomaterial/scaffold/tissue-engineering construct relevance."
PUBMED_0012,29111821,"Correlations of Corneal Optical Densitometry, Endothelial Hexagonality Percentage, and Epithelium Thickness.","PURPOSE: Our aim was to examine the associations between the cornea morphological parameters, endothelial cell density, and anterior chamber measurements. METHODS: This observational study included 50 eyes of 50 healthy volunteers. The thicknesses of corneal epithelium, Bowman's layer, stroma, Descemet's membrane-endothelium complex, and pre-ocular tear film were measured by means of anterior segment optical coherence tomography. The keratometry (K), corneal volume (CV), corneal optical densitometry (COD), iridocorneal angle (ICA), anterior chamber depth (ACD), and anterior chamber volume (ACV) measurements were taken by the Scheimpflug anterior segment imaging. The corneal endothelial cell density and percentage of hexagonality were measured by specular microscopy. RESULTS: The COD was only correlated with the thickness of Bowman's layer (r = -0.30, p = 0.035). The hexagonal endothelial cell percentage was correlated with the thickness of the pre-ocular tear film (r = -0.50, p < 0.001), ACD (r = 0.40, p = 0.004), and ACV (r = 0.34, p = 0.015). The corneal epithelium thickness was associated with the ACD (r = 0.30, p = 0.034), ACV (r = 0.34, p = 0.018), K-flat (r = -0.35, p = 0.013), and K-steep (r = -0.29, p = 0.038) readings. CONCLUSIONS: The anterior chamber morphological parameters (i.e., ACV, ACD) were significantly positively correlated with the hexagonal endothelial cell percentage and corneal epithelium thickness in healthy adults.",2018,Current eye research,10.1080/02713683.2017.1387271,C4_endothelium,1,Exclude,General ophthalmology/no engineering content,multiple_layers,,"Corrected exclude: routine clinical/surgical keratoplasty, DMEK/DSAEK/DALK, imaging, outcome, or complication paper without clear biomaterial/scaffold/tissue-engineering construct relevance."
PUBMED_0014,29133296,Comparison of preservation and transportation protocols for preloaded Descemet membrane endothelial keratoplasty.,"BACKGROUND/AIMS: Descemet membrane endothelial keratoplasty (DMEK) preparation is technically demanding and is a limiting factor for uptake of this kind of surgery. Supply methods that simplify the procedure for surgeons are key to increasing uptake. This study compares two different shipping protocols for DMEK. METHODS: An 8.5 mm DMEK graft was punched, marked and loaded for transportation in two different conditions: (A) endothelium trifolded inwards in organ culture conditions (n=7) and (B) endothelium rolled outwards in hypothermic conditions (n=7). Tissues were shipped from Italy to the UK, then analysed for orientation, endothelial cell density, denuded areas, cell mortality, triple viability staining (Hoechst/ethidium homodimer/calcein AM (HEC)), immunolocalisation of ZO-1 and Na/K-ATPase proteins, visualisation of actin filaments using phalloidin and histological analysis using H&E on paraffin-embedded sections. RESULTS: All tissues clearly showed the mark used for graft orientation. After shipping in condition A, there was an increase in cell mortality of 8.1% and in denuded areas of 22.4%, whereas for condition B there was an increase in cell mortality of 14.2% and in denuded areas of 34.3% after shipping. HEC staining revealed areas of viable cells and apoptotic cells, with large denuded areas found in the periphery for condition B and within folds for condition A. CONCLUSIONS: Prestripped preloaded DMEK grafts retained sufficient viable cells for transplantation, with condition A (endothelium-in) offering the advantage of greater flexibility of use due to a longer shelf-life. HEC analysis provides further detailed information as to the status of DMEK grafts and should be used in future similar studies.",2018,The British journal of ophthalmology,10.1136/bjophthalmol-2017-310906,C4_endothelium,1,Exclude,General ophthalmology/no engineering content,endothelium,,"Corrected exclude: routine clinical/surgical keratoplasty, DMEK/DSAEK/DALK, imaging, outcome, or complication paper without clear biomaterial/scaffold/tissue-engineering construct relevance."
PUBMED_0023,29300261,Scheimpflug Densitometry After DMEK Versus DSAEK-Two-Year Outcomes.,"PURPOSE: To compare the course of Scheimpflug corneal densitometry (CD) after Descemet membrane endothelial keratoplasty (DMEK) versus Descemet stripping automated endothelial keratoplasty (DSAEK). METHODS: Fifty-four DMEK and 25 DSAEK cases without previous corneal surgery, complicated intraoperative or postoperative course, or vision-limiting ocular comorbidities were included. Pseudophakic eyes of age-matched subjects were recruited as controls (n = 20). Scheimpflug CD of the optically relevant zones (0-2 and 2-6 mm), best-corrected visual acuity (BCVA), endothelial cell density, and central corneal thickness were evaluated preoperatively and at 3, 6, 12, and 24 months postoperatively. RESULTS: CD of the optical zone decreased from 34.4 ± 9.4 grayscale units (GSU) before to 19.2 ± 2.7 GSU at 24 months after DMEK. Respectively, CD decreased from 34.0 ± 13.4 GSU before to 21.2 ± 2.5 GSU at 24 months after DSAEK. Mean central CD in group 3 was 18.1 ± 1.3 GSU. Compared with DSAEK, DMEK cases showed lower central CD at 3 and 6 months (P ≤ 0.012) but not at 12 and 24 months postoperatively. DSAEK showed higher CD values throughout the postoperative period compared with healthy controls (P < 0.001). DMEK showed higher CD compared with controls at 3, 6, and 12 but not at 24 months after surgery (P = 0.152). Postoperative BCVA was significantly better after DMEK for every examination time point. No difference in endothelial cell density was found between DMEK and DSAEK at any time point. CONCLUSIONS: DMEK showed lower CD and better BCVA compared with DSAEK in the first 6 postoperative months. Notably, although CD reached similar levels in the midterm after both DMEK and DSAEK, BCVA remained significantly better after DMEK.",2018,Cornea,10.1097/ICO.0000000000001483,C4_endothelium,1,Exclude,General ophthalmology/no engineering content,endothelium,,"Corrected exclude: routine clinical/surgical keratoplasty, DMEK/DSAEK/DALK, imaging, outcome, or complication paper without clear biomaterial/scaffold/tissue-engineering construct relevance."
PUBMED_0027,29343529,Quarter-Descemet membrane endothelial keratoplasty (Quarter-DMEK) for Fuchs endothelial corneal dystrophy: 6 months clinical outcome.,"BACKGROUND/AIM: To assess the clinical outcome of the first series of Quarter-Descemet membrane endothelial keratoplasty (Quarter-DMEK), a potential hybrid technique between 'descemetorhexis only' and conventional, circular DMEK. METHODS: Prospective interventional case series at a tertiary referral centre. Twelve eyes of 12 patients with central Fuchs endothelial corneal dystrophy underwent Quarter-DMEK, that is, transplantation of one quadrant of a full-diameter DMEK graft, and were evaluated for best-corrected visual acuity (BCVA), endothelial cell density (ECD) and complications up to 6 months postoperatively. RESULTS: At 6 months postoperatively, all eyes reached a BCVA of ≥20/40 (≥0.5), 11/12 (92%) of ≥20/25 (≥0.8) and 6/12 (50%) of ≥20/20 (≥1.0). Mean central ECD decreased from 2867 (±161) cells/mm(2) before to 1255 (±514) cells/mm(2) at 1 month, 1058 (±455) cells/mm(2) at 3 months and 968 (±427) cells/mm(2) at 6 months after surgery. Rebubbling was performed in 4/12 eyes (33%) within the first two months. CONCLUSIONS: Quarter-DMEK may be a feasible procedure that allows for visual outcomes similar to conventional, circular DMEK. The relatively large drop in ECD within the first month may have resulted from more extensive endothelial cell migration and/or measurement error (at the graft edges). If longer-term outcomes would resemble those of conventional DMEK, Quarter-DMEK may potentially quadruple the availability of endothelial grafts.",2018,The British journal of ophthalmology,10.1136/bjophthalmol-2017-311398,C4_endothelium,1,Exclude,General ophthalmology/no engineering content,endothelium,,"Corrected exclude: routine clinical/surgical keratoplasty, DMEK/DSAEK/DALK, imaging, outcome, or complication paper without clear biomaterial/scaffold/tissue-engineering construct relevance."
PUBMED_0029,29384808,Regenerative Therapy for Fuchs Endothelial Corneal Dystrophy.,"PURPOSE: Fuchs endothelial corneal dystrophy (FECD) is an acquired corneal endotheliopathy and is one of the most common indications for corneal transplantation surgery worldwide. Endothelial keratoplasty (EK) is the most popular form of corneal transplantation for FECD. In standard EK surgery, the patient's corneal endothelium and basement membrane [ie, Descemet membrane (DM)] are first removed, followed by transplantation of donor tissue that comprises allogenic corneal endothelial cells, DM, and corneal stroma of variable thickness. We hypothesized that in lieu of EK, transplantation of acellular DM (ie, Descemet membrane transplantation, DMT) may similarly restore anatomical and functional integrity of the corneal endothelium, by stimulating centripetal migration of peripheral host corneal endothelial cells. METHODS: A case report of a first-in-human trial of DMT for treatment of FECD is presented. RESULTS: A patient with FECD was successfully treated with DMT. Her preoperative best-corrected Snellen visual acuity (BCVA) was 6/18, central corneal thickness was 603 nm, and central corneal endothelial cell density was unrecordable. By postoperative month 6, her best-corrected Snellen visual acuity had improved to 6/7.5, central corneal thickness was 569 nm, and central corneal endothelial cell density was 889 cells/mm. She remained stable despite complete cessation of all medications including immunosuppressants. No significant postoperative complications have been encountered. CONCLUSIONS: DMT may be effective for treatment of FECD. Achievement of endothelial regeneration without allogenic corneal endothelial cell transplantation and exposure to the attendant risks of graft rejection and chronic immunosuppression represents a significant improvement from the current paradigm of EK.",2018,Cornea,10.1097/ICO.0000000000001518,C4_endothelium,1,Exclude,General ophthalmology/no engineering content,stroma,,"Corrected exclude: routine clinical/surgical keratoplasty, DMEK/DSAEK/DALK, imaging, outcome, or complication paper without clear biomaterial/scaffold/tissue-engineering construct relevance."
PUBMED_0033,29429294,[Pre-descement membrane endothelial keratoplasty for treatment of patients with corneal endothelial decompensation].,"Objective: To investigate the clinical outcomes of Pre-descement membrane endothelial keratoplasty (PDEK) for treatment of patients with corneal endothelial decompensation. Methods: Retrospective study of case series. The cases of 20 patients (20 eyes) who were diagnosed with corneal endothelial decompensation induced by various original diseases and received PDEK during July 2016 and December 2016 at Zhongshan Ophthalmic Center have been analyzed. The participants included 8 males and 12 females with an average age of (59.3±11.8) years. All 20 patients received PDEK operation, the Dua's layer, descement membrane and endothelium of donor tissue were separated from the underlying stroma with the application of big-bubble technique, and donor discs with diameters of 7.75 or 8.00 mm were harvested with scissors. The donor discs were stained with 0.06% trypan blue and loaded on inserters which were then gently inserted into the anterior chamber of the recipient. When the rolled inserted graft was unfolded, air was carefully injected into the anterior chamber underneath the graft so that the graft can attach to the stroma of the recipient. Post-operation follow-ups of over 6 months have been conducted for all patients, the best spectacle corrected visual acuity (BSCVA), the position of donor disc, corneal thickness and corneal endothelial cell density (ECD) were documented. The pre-operation and post-operation (6 months postoperatively) corneal thickness data of the patients were analyzed with paired sample t test. Results: The success rate of preparing PDMEK donor disc with big-bubble technique is 90% (18/20). Eighteen patients (90%) received PDMEK surgery successfully. Anterior segment optical coherence tomography (AS-OCT) results indicated that sixteen donor discs (16/18) were well attached to the back surface of the recipient stroma, and that two discs (2/18) dislocated at 6 days after surgery. At 6 months post-operatively, the corneas of 14 patients (14/18) turned clear with their BSCVA ranging 0.4 to 1.0, and the ECD was (1 389.3±373.2) cells/mm(2) for the patients with clear corneas. At 6 months post-operatively, the average corneal thickness of the patients reduced to (605±45) μm from the preoperative level of (655±56) μm, and the differences are of statistical significance (t=2.137, P=0.032). Conclusions: Application of big-bubble technique could effectively secure the success rate of PDEK disc preparation and control the loss of donated corneas. PDEK disc can be easily handled and unrolled in the anterior chamber, which could improve the postoperative clinical outcomes. (Chin J Ophthalmol, 2018, 54: 105-110).",2018,[Zhonghua yan ke za zhi] Chinese journal of ophthalmology,10.3760/cma.j.issn.0412-4081.2018.02.007,C4_endothelium,1,Exclude,General ophthalmology/no engineering content,stroma,,"Corrected exclude: routine clinical/surgical keratoplasty, DMEK/DSAEK/DALK, imaging, outcome, or complication paper without clear biomaterial/scaffold/tissue-engineering construct relevance."
PUBMED_0036,29483081,Progressive idiopathic unilateral corneal endothelial failure of unknown aetiology in phakic eyes.,"AIM: To describe a cohort of patients with irreversible unilateral bullous keratopathy (BK) of undetermined aetiology. METHOD: Retrospective, single-centre case series in a tertiary corneal referral centre. RESULTS: Eleven consecutive patients (nine females; mean age 71.7 years) presented from 1999 to 2009 with acute onset unilateral visual loss. At presentation, the best-corrected visual acuity of the affected eyes was 6/9 or worse with mean central corneal thickness (CCT) of 684 (SD 66) μm. Specular microscopy was not possible in the affected eyes. There was no other ocular pathology in the affected eye. The fellow eye remained normal throughout the study (mean endothelial cell density (ECD) of 1980 (SD 736) cells/mm(2) and CCT of 536 (SD 34) μm). Topical steroid, antiviral treatments (both topical and systemic) or a combination of both did not yield any improvement. After a mean follow-up of 82.2 months, eight eyes had penetrating keratoplasty (PK). One required two regrafts. Histology showed typical BK features, with endothelial cell (EC) loss and thickened Descemet's membrane (DM). Transmission electron microscopy revealed DM abnormalities in a non-consistent pattern, featuring variable collagen deposition posterior to the non-banded zone. The ECs were degenerated, reduced or absent. Neither viruses nor pseudoexfoliation material was identified. CONCLUSION: While medical treatment is not beneficial, PK appears to offer good results. Non-guttate Fuchs' corneal endothelial dystrophy merits consideration but it would be unusual to see an exclusively unilateral presentation. DM thickening is reflective of a chronic EC loss but the cause of this loss remains elusive.",2018,The British journal of ophthalmology,10.1136/bjophthalmol-2017-311333,C4_endothelium,1,Exclude,General ophthalmology/no engineering content,endothelium,,"Corrected exclude: routine clinical/surgical keratoplasty, DMEK/DSAEK/DALK, imaging, outcome, or complication paper without clear biomaterial/scaffold/tissue-engineering construct relevance."
PUBMED_0037,29489516,Five Keratoplasties From One Donor Cornea.,"PURPOSE: To describe the feasibility of same-day, consecutive use of a single donor cornea in 5 patients with corneal pathology, who required anterior lamellar and endothelial keratoplasties. METHODS: Descemet membrane (DM) with endothelium was completely stripped from a single corneoscleral button and punched out from the endothelial side with a circular, standard punch. Using a custom-made punch for linear cutting of DM, we obtained 4 quarter-grafts (Q-graft). The denuded and punched-out corneal stroma was transplanted in 1 patient with keratoconus, using the big-bubble deep anterior lamellar keratoplasty (DALK) technique. The 4 DM Q-grafts were consecutively transplanted to 4 patients with Fuchs dystrophy using the quarter Descemet membrane endothelial keratoplasty (Q-DMEK or 1/4 DMEK) technique. RESULTS: All surgical procedures were performed successfully during 1 surgical session. No intraoperative or postoperative complications requiring intervention were observed. Six months after surgery, the decimal best-corrected visual acuity achieved was 0.66 after DALK and 0.95 ± 0.1 (range, 0.8-1.0) in the 4 Q-DMEK cases; the endothelial cell density was 1680 ± 254 cells/mm (range, 1492-2039 cells/mm). Six months postoperatively, all corneas were clear. CONCLUSIONS: In this limited series, we demonstrate that 1 donor cornea can be successfully used for 5 recipients. Although performing DALK and Q-DMEK on a single day is technically challenging, it is feasible and can dramatically reduce the shortage and the cost of corneal tissue. Strict case selection is necessary. Further study on this approach is required.",2018,Cornea,10.1097/ICO.0000000000001551,C4_endothelium,1,Exclude,General ophthalmology/no engineering content,stroma,,"Corrected exclude: routine clinical/surgical keratoplasty, DMEK/DSAEK/DALK, imaging, outcome, or complication paper without clear biomaterial/scaffold/tissue-engineering construct relevance."
