screening_id,pmid,title,abstract,year,journal,doi,sources,source_count,decision,exclusion_reason,corneal_layer,priority_level,screening_notes
PUBMED_0001,27860426,"Human corneal fibroblast migration and extracellular matrix synthesis during stromal repair: Role played by platelet-derived growth factor-BB, basic fibroblast growth factor, and transforming growth factor-β1.","The development of treatments that modulate corneal wound healing to avoid fibrosis during tissue repair is important for the restoration of corneal transparency after an injury. To date, few studies have studied the influence of growth factors (GFs) on human corneal fibroblast (HCF) expression of extracellular matrix (ECM) proteins such as collagen types I and III, proteoglycans such as perlecan, or proteins implicated in cellular migration such as α5β1-integrin and syndecan-4. Using in vitro HCFs, a mechanical wound model was developed to study the influence of the GFs basic fibroblast GF (bFGF), platelet-derived GF (PDGF-BB) and transforming GF-β1 (TGFβ1) on ECM protein production and cellular migration. Our results show that mechanical wounding provokes the autocrine release of bFGF and TGFβ1 at different time points during the wound closure. The HCF response to PDGF-BB was a rapid closure due to fast cellular migration associated with a high focal adhesion replacement and a high expression of collagen and proteoglycans, producing nonfibrotic healing. bFGF stimulated nonfibrotic ECM production and limited the migration process. Finally, TGFβ1 induced expression of the fibrotic markers collagen type III and α5β1 integrin, and it inhibited cellular migration due to the formation of focal adhesions with a low turnover rate. The novel in vitro HCF mechanical wound model can be used to understand the role played by GFs in human corneal repair. The model can also be used to test the effects of different treatments aimed at improving the healing process. Copyright © 2016 John Wiley & Sons, Ltd.",2018,Journal of tissue engineering and regenerative medicine,10.1002/term.2360,B3_stroma,1,Uncertain,,stroma,Low,"Corrected uncertain: may support biological, optical, or mechanical benchmarking background, but not clearly a tissue-engineered material or construct."
PUBMED_0002,27863068,Scaffold-free tissue engineering of functional corneal stromal tissue.,"Blinding corneal scarring is predominately treated with allogeneic graft tissue; however, there is a worldwide shortage of donor tissue leaving millions in need of therapy. Human corneal stromal stem cells (CSSC) have been shown produce corneal tissue when cultured on nanofibre scaffolding, but this tissue cannot be readily separated from the scaffold. In this study, scaffold-free tissue engineering methods were used to generate biomimetic corneal stromal tissue constructs that can be transplanted in vivo without introducing the additional variables associated with exogenous scaffolding. CSSC were cultured on substrates with aligned microgrooves, which directed parallel cell alignment and matrix organization, similar to the organization of native corneal stromal lamella. CSSC produced sufficient matrix to allow manual separation of a tissue sheet from the grooved substrate. These constructs were cellular and collagenous tissue sheets, approximately 4 μm thick and contained extracellular matrix molecules typical of corneal tissue including collagen types I and V and keratocan. Similar to the native corneal stroma, the engineered corneal tissues contained long parallel collagen fibrils with uniform diameter. After being transplanted into mouse corneal stromal pockets, the engineered corneal stromal tissues became transparent, and the human CSSCs continued to express human corneal stromal matrix molecules. Both in vitro and in vivo, these scaffold-free engineered constructs emulated stromal lamellae of native corneal stromal tissues. Scaffold-free engineered corneal stromal constructs represent a novel, potentially autologous, cell-generated, biomaterial with the potential for treating corneal blindness. Copyright © 2016 John Wiley & Sons, Ltd.",2018,Journal of tissue engineering and regenerative medicine,10.1002/term.2363,B3_stroma,1,Include,,stroma,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0003,28485528,Bioengineered keratocyte spheroids fabricated on chitosan coatings enhance tissue repair in a rabbit corneal stromal defect model.,"Cultivated cell spheroid transplantation is widely studied as a means of facilitating tissue regeneration. Chitosan biomaterial has been shown to promote keratocyte aggregation and multicellular spheroid formation. This study provides further evidence on application of bioengineered keratocyte spheroids for corneal stromal tissue engineering. In an allogeneic rabbit model of stromal destruction caused by bacterial keratitis, the corneas were intrastromally injected with isolated keratocyte suspensions or aggregated spheroid grafts at same cell number. Results of clinical observations and histological examinations on postoperative day 14 showed that when an antibiotic eye drop is only medication for inhibiting bacterial growth, permanent damage to stroma occurs, leading to disorganization of collagen lamellae and tissue structure as well as loss of corneal transparency and visual function. Intrastromal grafting of keratocytes provided additional benefits to overcome drawbacks of limited disease treatment performance associated with topically applied antibiotics. In particular, as compared to their cell suspension counterparts, bioengineered keratocyte spheroids had higher ability to preserve cellular phenotype, secrete collagen matrix, and enhance graft retention, suggesting excellent repair capability for managing stromal tissue defect and alleviating corneal haze/oedema. In summary, the findings emphasize the role of keratocyte configuration (i.e., two-dimensional monolayer or three-dimensional spheroid) in determining therapeutic potency of cellular allografts for stromal tissue reconstruction. Transplantation of keratocyte spheroids cultured on chitosan substrates may represent a promising strategy for corneal stromal repair.",2018,Journal of tissue engineering and regenerative medicine,10.1002/term.2456,B3_stroma,1,Include,,stroma,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0004,28600807,Multi-layered silk film coculture system for human corneal epithelial and stromal stem cells.,"With insufficient options to meet the clinical demand for cornea transplants, one emerging area of emphasis is on cornea tissue engineering. In the present study, the goal was to combine the corneal stroma and epithelium into one coculture system, to monitor both human corneal stromal stem cell (hCSSC) and human corneal epithelial cell (hCE) growth and differentiation into keratocytes and differentiated epithelium in these three-dimensional tissue systems in vitro. Coculture conditions were first optimized, including the medium, air-liquid interface culture, and surface topography and chemistry of biomaterial scaffold films based on silk protein. The silk was used as scaffolding for both stromal and epithelial tissue layers because it is cell compatible, can be surface patterned, and is optically clear. Next, the effects of proliferating and differentiating hCEs and hCSSCs were studied in this in vitro system, including the effects on cell proliferation, matrix formation by immunochemistry, and gene expression by quantitative reverse transcription-polymerase chain reaction. The incorporation of both cell types into the coculture system demonstrated more complete differentiation and growth for both cell types compared to the corneal stromal cells and corneal epithelial cells alone. Silk films for corneal epithelial culture were optimized to combine a 4.0-μm-scale surface pattern with bulk-loaded collagen type IV. Differentiation of each cell type was in evidence based on increased expression of corneal stroma and epithelial proteins and transcript levels after 6 weeks in coculture on the optimized silk scaffolds.",2018,Journal of tissue engineering and regenerative medicine,10.1002/term.2499,A3_epithelium_limbus,1,Include,,multiple_layers,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0005,28613758,Neurotrophic Keratitis.,"Neurotrophic keratitis is a degenerative corneal disease caused by impaired sensory innervation. The condition is characterized by decreased or absent corneal sensation, leading to epithelial breakdown, delayed healing, and, ultimately, corneal ulceration, melting, and perforation. Initially described as neuroparalytic keratitis, this corneal pathology was first demonstrated experimentally by Magendie in 1824. Neurotrophic keratitis is a rare but vision-threatening disease that progresses due to corneal nerve dysfunction. The corneal nerves play a crucial role in maintaining ocular surface health by regulating epithelial cell proliferation, tear film stability, and immune responses. When these nerves are compromised by systemic or local conditions, the cornea loses its protective mechanisms, making it vulnerable to ulceration, infection, and mechanical trauma. The prevalence of neurotrophic keratitis is relatively low, affecting approximately 5 per 10,000 individuals, but it is often underdiagnosed due to its subtle clinical presentation. The disease follows the 3-stage Mackie classification. Stage 1 is characterized by corneal epithelial irregularities and punctate keratopathy. Stage 2 presents with a persistent epithelial defect (PED) and stromal involvement. Stage 3 encompasses corneal ulceration with stromal melting and possible perforation. Progression is often insidious, with patients rarely reporting pain due to diminished corneal sensation. However, some individuals may experience blurred vision, mild redness, or recurrent ocular surface inflammation. Early recognition and prompt intervention are essential to prevent irreversible damage and vision loss. Neurotrophic keratitis results from damage to the sensory (afferent) fibers of the trigeminal nerve, the 5th cranial nerve. These fibers maintain corneal sensation and epithelial integrity. Several systemic and ocular conditions can lead to corneal nerve dysfunction, including herpetic infection from herpes simplex (HSV) or varicella-zoster (VZV) virus, diabetes mellitus, postsurgical nerve damage from procedures such as refractive surgery, corneal transplantation, or trigeminal neuralgia surgery, as well as chemical burns, chronic topical drug use, contact lens wear, and autoimmune diseases such as Sjögren syndrome. Central nervous system disorders affecting the trigeminal ganglion or brainstem can also disrupt corneal innervation, contributing to neurotrophic keratitis. The corneal epithelium relies on trophic factors from corneal nerves, including substance P, nerve growth factor (NGF), and insulin-like growth factor 1 (IGF-1), to maintain ocular surface health and prevent epithelial breakdown. Loss of nerve function slows epithelial turnover, disrupts tear film dynamics, and impairs corneal healing, producing PEDs, ulceration, and corneal thinning. The absence of sensory feedback further reduces reflex tearing and blinking, exacerbating ocular surface desiccation and inflammation. One of the most challenging aspects of diagnosing neurotrophic keratitis is the lack of significant symptoms despite ongoing corneal damage. Unlike other corneal diseases, where pain and discomfort prompt early medical attention, neurotrophic keratitis often remains undetected until severe complications arise. Common clinical signs include punctate epithelial erosions, PEDs, corneal ulceration, and thinning. In advanced cases, stromal necrosis and perforation may develop, necessitating urgent surgical intervention. A comprehensive clinical evaluation should include corneal sensation testing with a cotton wisp, a Cochet-Bonnet esthesiometer, or dental floss. A slit-lamp examination can assess epithelial irregularities, tear meniscus height reduction, punctate keratopathy, and stromal opacities. Fluorescein and Rose Bengal staining help detect epithelial damage and conjunctival involvement, while tear film analysis using the Schirmer test, tear breakup time (TBUT), and ocular surface inflammation markers further support diagnosis. Corneal imaging with anterior segment optical coherence tomography (AS-OCT) or in vivo confocal microscopy (IVCM) provides detailed visualization of nerve density, epithelial integrity, and subbasal nerve plexus abnormalities. The Mackie classification divides neurotrophic keratitis into 3 progressive stages. Stage 1 presents with early epithelial irregularities, corneal haze, reduced tear film stability, and punctate epithelial erosions. Stage 2 involves a PED with underlying stromal involvement, often leading to stromal thinning and edema (see Image. Stage 2 Neurotrophic Keratitis). Stage 3 represents the most severe form, characterized by corneal ulceration, stromal melting, and potential perforation, which significantly increases the risk of infectious keratitis and permanent vision loss. Early recognition and classification are crucial for guiding treatment and preventing disease progression. Management of neurotrophic keratitis depends on disease severity and focuses on promoting corneal healing, restoring nerve function, and preventing complications. Treatment is multimodal, incorporating topical, surgical, and regenerative approaches. Conservative medical therapy serves as the first-line intervention, including lubrication with nonpreserved artificial tears, hydrogel inserts, and autologous serum tears to maintain ocular surface hydration. Discontinuing toxic medications, such as preserved eye drops, glaucoma drugs, and long-term corticosteroids, is essential to prevent further epithelial toxicity. Therapeutic contact lenses, including bandage, scleral, and amniotic membrane lenses, can support corneal healing in patients with PEDs. For more advanced cases, biological and pharmacologic treatments have transformed neurotrophic keratitis management. Recombinant NGF (cenegermin-bkbj, Oxervate™) stimulates corneal nerve regeneration and enhances epithelial healing. Platelet-rich plasma (PRP) and autologous serum drops, which contain epithelial growth factors and anti-inflammatory cytokines, support ocular surface repair and reduce inflammation. Surgical and interventional approaches are reserved for severe or refractory cases. Tarsorrhaphy, a partial or complete closure of the eyelids, reduces corneal exposure and promotes healing. Amniotic membrane transplantation (AMT) provides growth factors and anti-inflammatory properties to facilitate epithelial recovery. Corneal neurotization, a novel technique involving the transplantation of sensory nerves, such as the supraorbital or infraorbital nerve, has shown promise in restoring corneal sensation in severe cases. For patients with corneal perforation, conjunctival flaps and keratoplasty procedures, including lamellar or penetrating keratoplasty (PKP), may be necessary. Managing neurotrophic keratitis requires an interprofessional approach involving ophthalmologists, cornea specialists, neurologists, and optometrists. Early referral to an ophthalmologist is essential, as delayed diagnosis can lead to irreversible corneal damage. The future of neurotrophic keratitis treatment lies in regenerative medicine, neuroprotection, and gene therapy. Emerging therapies, including mesenchymal stem cell therapy, gene-based neurotrophic factor delivery, and bioengineered corneal substitutes, offer hope for improved outcomes. Advances in biologic treatments, regenerative medicine, and corneal neurotization are transforming the treatment landscape, enhancing both visual prognosis and quality of life. Increased awareness, research, and accessibility of novel therapies will be crucial in optimizing long-term patient outcomes.",2026,,,A3_epithelium_limbus;B3_stroma,2,Include,,multiple_layers,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0006,28780705,A viscoelastic anisotropic hyperelastic constitutive model of the human cornea.,"A constitutive model based on the continuum mechanics theory has been developed which represents interlamellar cohesion, regional variation of collagen fibril density, 3D anisotropy and both age-related viscoelastic and hyperelastic stiffening behaviour of the human cornea. Experimental data gathered from a number of previous studies on 48 ex vivo human cornea (inflation and shear tests) enabled calibration of the constitutive model by numerical analysis. Wide-angle X-ray scattering and electron microscopy provided measured data which quantify microstructural arrangements associated with stiffness. The present study measures stiffness parallel to the lamellae of the cornea which approximately doubles with an increase in strain rate from 0.5 to 5%/min, while the underlying stromal matrix provides a stiffness 2-3 orders of magnitude lower than the lamellae. The model has been simultaneously calibrated to within 3% error across three age groups ranging from 50 to 95 years and three strain rates across the two loading scenarios. Age and strain-rate-dependent material coefficients allow numerical simulation under varying loading scenarios for an individual patient with material stiffness approximated by their age. This present study addresses a significant gap in numerical representation of the cornea and has great potential in daily clinical practice for the planning and optimisation of corrective procedures and in preclinical optimisation of diagnostic procedures.",2018,Biomechanics and modeling in mechanobiology,10.1007/s10237-017-0942-2,B3_stroma,1,Uncertain,,stroma,Low,"Corrected uncertain: may support biological, optical, or mechanical benchmarking background, but not clearly a tissue-engineered material or construct."
PUBMED_0007,29023312,Prediction of Descemet Membrane Perforation During Deep Anterior Lamellar Keratoplasty in Patients With Keratoconus With Stromal Scar.,"OBJECTIVES: To report big-bubble deep anterior lamellar keratoplasty (DALK) in patients with keratoconus with corneal stromal scar, and to investigate factors that can influence intraoperative Descemet membrane (DM) perforation. METHODS: A retrospective study included patients with keratoconus with central stromal scar that underwent DALK using the big-bubble technique. Best spectacle-corrected visual acuity (BSCVA), keratometry, minimum corneal thickness (MCT), stromal scar depth, and endothelial cell density (ECD) were recorded. Receiver operating characteristic (ROC) curves were analyzed to predict an intraoperative perforation related to stromal scar. RESULTS: Thirty-eight eyes of 38 patients with keratoconus (mean age: 30.0±9.2 years) were included in this study. Thirty-four eyes had successful DALK; in four eyes, the procedure was converted to penetrating keratoplasty because of DM macroperforations. Successful big-bubble formation was achieved in 24 of 38 (63.2%) eyes, whereas in 10 eyes, manual dissection was used to complete the DALK. Mean preoperative and postoperative second year BSCVA were 1.3 (±0.4) and 0.5 (±0.2) logarithm of the minimum angle of resolution (P<0.001), keratometry values were 65.5±7.4 and 42.8±7.8 diopters (P<0.001), and ECD were 2,740±359 and 2,279±452 cells/mm (P<0.001), respectively. Using ROC analysis, the area under curve value to predict DM perforation was found to be 0.792 (scar/MCT ratio, P=0.04) and the best cutoff point for scar depth/MCT ratio was 53%. CONCLUSION: Big-bubble DALK is effective in patients with keratoconus with stromal scars. Scar depth/MCT ratio seems to predict the DM perforation.",2018,Eye & contact lens,10.1097/ICL.0000000000000434,C4_endothelium,1,Exclude,General ophthalmology/no engineering content,stroma,,"Corrected exclude: routine clinical/surgical keratoplasty, DMEK/DSAEK/DALK, imaging, outcome, or complication paper without clear biomaterial/scaffold/tissue-engineering construct relevance."
PUBMED_0008,29024376,"Evaluation of collagen foam, poly(l-lactic acid) nanofiber mesh, and decellularized matrices for corneal regeneration.","Corneal tissue engineering efforts to obtain corneal tissue matrices through various types of materials for the replacement of damaged tissues. In this study, three different corneal constructs were prepared and evaluated in terms of morphological, optical, and biological characteristics. Type-I collagen was used to obtain collagen foam scaffolds through dehydrothermal crosslinking, while poly(l-lactic acid) (PLLA) was used to produce both random and aligned oriented electrospun corneal constructs. Bovine corneas were decellularized as third matrix. Software analyses showed that average pore size of collagen scaffolds was 88.207 ± 29.7 µm, while the average fiber diameter of aligned and random PLLA scaffolds were 0.69 ± 0.03 and 0.65 ± 0.03 μm, respectively. Degradation profiles revealed that collagen foam exhibits high degradation (20% mass loss) while electrospun PLLA scaffolds hold low degradation (9% mass loss) rates at day-28. Transmittance values of the obtained scaffolds were calculated as 92, 80, and 70% for collagen, PLLA, and decellularized cornea constructs, respectively. The evaluation of stromal keratocyte behavior on the constructs revealed that the cells exhibited their own morphology mostly on the aligned PLLA constructs, while they were mostly active on random PLLA electrospun corneal scaffolds. © 2017 Wiley Periodicals, Inc. J Biomed Mater Res Part B: Appl Biomater, 106B: 2157-2168, 2018.",2018,"Journal of biomedical materials research. Part B, Applied biomaterials",10.1002/jbm.b.34022,B3_stroma;D3_full_thickness_multilayer,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0009,29040116,Air Versus Sulfur Hexafluoride Gas Tamponade in Descemet Membrane Endothelial Keratoplasty: A Fellow Eye Comparison.,"PURPOSE: To perform a fellow eye comparison of outcomes and complications when using air or sulfur hexafluoride (SF6) gas as a tamponade in Descemet membrane endothelial keratoplasty (DMEK). METHODS: One hundred thirty-six eyes of 68 consecutive patients who underwent uneventful DMEK in both eyes for Fuchs endothelial corneal dystrophy were included in this retrospective study. Inclusion criteria were air tamponade (80% of the anterior chamber volume) in the first eye and 20% SF6 gas tamponade (80% of the anterior chamber volume) in the second eye; and same donor tissue culture condition in both eyes. All eyes received laser iridotomy on the day before DMEK. Main outcome measures included preoperative and postoperative best-corrected visual acuity, endothelial cell density, corneal volume, rebubbling rate, and rate of postoperative pupillary block caused by the air/gas bubble. RESULTS: Thirteen of 68 eyes (19.1%) with an air tamponade needed rebubbling compared with 4 of 68 eyes (5.9%) with an SF6 gas tamponade (P = 0.036). Postoperative pupillary block necessitating partial release of air/gas occurred in 1 eye (1.5%) with an air tamponade and 3 eyes (4.4%) with an SF6 gas tamponade (P = 0.301). There were no significant differences in preoperative and postoperative best-corrected visual acuity, endothelial cell density, and corneal volume within 3-month follow-up. CONCLUSIONS: Our results confirm the previously reported better graft adhesion when using an SF6 gas tamponade in DMEK without increased endothelial cell toxicity. The rate of pupillary block in eyes with an SF6 gas tamponade was comparable to that with an air tamponade. As a consequence, we recommend using SF6 gas as the tamponade in DMEK.",2018,Cornea,10.1097/ICO.0000000000001413,C4_endothelium,1,Exclude,General ophthalmology/no engineering content,endothelium,,"Corrected exclude: routine clinical/surgical keratoplasty, DMEK/DSAEK/DALK, imaging, outcome, or complication paper without clear biomaterial/scaffold/tissue-engineering construct relevance."
PUBMED_0010,29040119,Prospective Clinical Trial of Corneal Reconstruction With Biomaterial-Free Cultured Oral Mucosal Epithelial Cell Sheets.,"PURPOSE: To investigate the efficacy and safety of transplantation with biomaterial-free cultured oral mucosal epithelial cell sheets (COMECs) for ocular reconstruction in subjects with total limbal stem cell deficiency. METHODS: A prospective clinical trial (NCT02149732) was conducted in 8 subjects with total limbal stem cell deficiency after approval from the institutional review board of Seoul National University Hospital (H-0707-043-213) and the Ministry of Food and Drug Safety of Korea. COMECs were prepared in a culture system without the use of any temperature-sensitive polymers or carriers. The COMECs were transplanted without suture fixation. Four subjects underwent penetrating keratoplasty after stabilization of the COMEC transplant. Stable epithelialization, changes in visual acuity, and postoperative complications were evaluated for 6 months. Corneal cytokeratins (K) of 4 subjects who underwent penetrating keratoplasty were stained with an immunofluorescent agent. RESULTS: The ocular surface was successfully reconstructed in 6 eyes. Complete stable epithelialization was achieved within a mean of 53.6 days. Visual improvement (≥2 lines) was achieved in 62.5% of the eyes. K12 (corneal phenotype), K4, and K13 (mucosal phenotype) were well expressed in grafts after keratoplasty, whereas K1, K8, and K19 were barely expressed. No ocular infections, local tumor formation, or remarkable systemic complications were observed. Ocular reconstruction using COMECs failed in 2 eyes, which had full symblepharon in 4 quadrants. CONCLUSIONS: Transplanting biomaterial-free COMECs seems to be an efficient and safe procedure to reconstruct the ocular surface in patients who are completely limbal stem cell deficient without a full symblepharon.",2018,Cornea,10.1097/ICO.0000000000001409,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
