screening_id,pmid,year,journal,doi,_layer,biomaterial_category,specific_materials,fabrication_method,cell_type_used,cell_source,optical_transparency_reported,mechanical_testing_reported,biological_testing_reported,in_vitro_model,ex_vivo_model,animal_model,clinical_evidence,translational_readiness_level,benchmarking_relevance,main_outcomes,main_limitations,evidence_verification_level
PUBMED_0021,29281419,2018,Current eye research,10.1080/02713683.2017.1377258,endothelium,electrospun synthetic polymer scaffolds,"poly(methyl-methacrylate) (PMMA), poly(lactic-co-glycolic acid) (PLGA), polycaprolactone (PCL) - three scaffolds compared head-to-head","electrospinning of PMMA, PLGA, and PCL under equal spinning parameters",HCEC-12 (immortalized human corneal endothelial cell line),human (cell line),yes,yes,yes,yes,no,no,no,early preclinical (in vitro material screening),high,"Head-to-head comparison of three electrospun polymers for corneal endothelial scaffolds: PLGA and PCL were equally biocompatible and non-cytotoxic, while PMMA was significantly cytotoxic; only PLGA preserved normal HCEC-12 morphology, making it the most promising candidate for tissue-engineered endothelial graft (TEEG) construction among the three.","Immortalized cell line (HCEC-12), not primary human corneal endothelial cells; in vitro only; short follow-up (up to 7 days); comparative light transmission values described but not quantified in the abstract itself.",abstract_only
PUBMED_0032,29413615,2018,"Colloids and surfaces. B, Biointerfaces",10.1016/j.colsurfb.2017.11.052,endothelium,natural polymer film (silk fibroin) functionalized with a bioactive small molecule,silk fibroin (SF) film incorporated with beta-Carotene (beta-C),"SF film scaffold fabricated with varying incorporated amounts of beta-Carotene, compared against pristine SF film",corneal endothelial cells (CEnCs); species not specified in abstract,not specified in abstract,yes,unclear / not reported in abstract,yes,yes,no,no,no,early preclinical (in vitro material screening),medium,"Incorporating a proper (small) amount of beta-Carotene into silk fibroin film scaffolds enhanced initial CEnC attachment, viability, and CEnC-specific mRNA expression relative to pristine SF, supporting beta-C/SF film as a candidate corneal endothelium substitute for transplantation.","In vitro only; no numeric transparency, mechanical, or viability values given in abstract; cell source species not specified; optimal beta-C concentration not stated in abstract.",abstract_only
PUBMED_0075,29998891,2018,Chinese medical journal,10.4103/0366-6999.235883,endothelium,collagen hydrogel,laminin-coated compressed collagen (CC) gel,"plastic compression of collagen gel to form a thin compressed collagen sheet, followed by laminin coating",bovine corneal endothelial cells (B-CECs),bovine (xenogeneic),unclear / not reported in abstract,yes,yes,yes,no,no,no,early preclinical (in vitro proof-of-concept),high,"Biomimetic corneal endothelium graft formed by culturing bovine CECs on laminin-coated compressed collagen gel; normal hexagonal morphology, ultrastructure, high cell density, and ZO-1 expression indicating basic endothelial barrier function.","Bovine (xenogeneic) cell source, not human; in vitro only, no animal or clinical validation; transparency not quantitatively reported.",abstract_plus_figures
PUBMED_0081,30066447,2018,Advanced healthcare materials,10.1002/adhm.201800398,endothelium,"3D-bioprinted, gene-engineered cell-laden graft on decellularized amniotic membrane carrier","ribonuclease 5 (RNase 5)-overexpressing human corneal endothelial cells (R5-HCECs) and control HCECs, extrusion-bioprinted onto lyophilized amniotic membrane (AM) carrier","HCECs transiently transfected with an RNase 5 plasmid vector to generate R5-HCECs (targets: PDCD4 inhibited, cyclin D1/E1 activated, enhancing proliferation/survival); R5-HCECs and control HCECs deposited onto lyophilized AM carriers via extrusion-based 3D bioprinting to produce ready-to-use R5-Graft and Ct-Graft constructs; grafts transplanted into rabbit corneas and assessed for corneal clarity/edema over 4 weeks, with ex vivo phenotypic marker expression assessed at 4 weeks","human corneal endothelial cells (HCECs) engineered to overexpress RNase 5 (R5-HCECs), plus non-transfected control HCECs",human (HCECs transiently transfected with RNase 5 plasmid vector; primary vs. cell-line source not further specified in the retrieved abstract),partial,unclear / not reported in abstract,yes,no,yes,yes,no,"preclinical (animal model, rabbit)",high,"Human corneal endothelial cells engineered to overexpress RNase 5 (R5-HCECs), 3D-bioprinted onto a lyophilized amniotic membrane carrier to form a ready-to-use R5-Graft, showed clearer basolateral Na+-K+ ATPase expression and higher confluency than a non-engineered control graft, and after transplantation into rabbit corneas restored corneal clarity from 2 weeks with less central corneal edema than control at 3-4 weeks, with clearer ex vivo endothelial phenotypic marker expression at 4 weeks -- supporting RNase 5 overexpression combined with 3D bioprinting as a strategy to enhance graft cellularity and function for corneal endothelial transplantation.","No numeric transmittance/edema-score or mechanical data reported in the retrieved abstract; transient (not stable) RNase 5 transfection may limit durability of the proliferative effect; rabbit (not primate/human) in vivo model; only 4-week follow-up reported; no comparison to a gold-standard donor corneal endothelial graft (e.g., DSEK/DMEK) benchmark.",abstract_only
PUBMED_0151,30989737,2019,Xenotransplantation,10.1111/xen.12514,endothelium,decellularized biological membrane carrier (modified denuded amniotic membrane) combined with a monoclonal corneal endothelial cell line,modified denuded amniotic membrane (mdAM) seeded with DiI-labeled non-transfected monoclonal human corneal endothelial (mcHCE) cells,tissue-engineered human corneal endothelium (TE-HCE) constructed by culturing DiI-labeled mcHCE cells on mdAM in 20% FBS-containing DMEM/Ham's F12 (1:1) medium at 37 C / 5% CO2 on 24-well culture plates; TE-HCE then transplanted into monkey corneas via penetrating keratoplasty with the native Descemet's membrane and endothelium stripped,non-transfected monoclonal human corneal endothelial (mcHCE) cell line,human (monoclonal cell line),yes,unclear / not reported in abstract,yes,no,yes,yes,no,"preclinical (non-human primate model, 181-day follow-up)",high,"A tissue-engineered human corneal endothelium (TE-HCE) built by culturing a monoclonal human corneal endothelial cell line on modified denuded amniotic membrane, transplanted into monkey corneas via penetrating keratoplasty, maintained corneal transparency and normalized corneal thickness (567 um by day 181) versus severe persistent edema (>1000 um) in membrane-only controls, with ex vivo confirmation of a functional hexagonal endothelial monolayer (2795.65 cells/mm2) at day 181 -- a relatively long-duration, non-human-primate-level preclinical validation.","Non-transfected monoclonal (immortalized-type) HCE cell line rather than primary donor cells, raising oncogenic/regulatory considerations for clinical translation; unusual electron-dense membrane-bound stacks observed beneath the plasma membrane were not fully explained; no live human clinical evaluation; no quantitative mechanical testing reported.",abstract_only
PUBMED_0157,31129253,2019,Experimental eye research,10.1016/j.exer.2019.05.019,endothelium,synthetic polymer blend membrane,"chitosan/polycaprolactone (PCL) blend, PCL25 (25% PCL by weight)",blended membrane casting; surface characterized by FTIR and AFM,bovine corneal endothelial cells,bovine (xenogeneic),no,partial,yes,yes,no,no,no,early preclinical (in vitro),medium-high,"Chitosan/PCL25 blend membranes supported bovine CEC attachment and proliferation comparable to TCPS, hexagonal morphology, functional marker expression, and favorable ECM protein profile versus TCPS.","Bovine cells, in vitro only; full text is Elsevier-paywalled with no PMC deposit found, so extraction is abstract-level only; no transparency or mechanical strength data reported.",abstract_only
PUBMED_0171,31258659,2019,Experimental and therapeutic medicine,10.3892/etm.2019.7573,endothelium,decellularized xenogeneic (porcine) Descemet membrane carrier with cultured cell sheet,porcine Descemet membrane (DM) carrier combined with cultured rabbit corneal endothelial cells (RCECs); Rho-kinase (ROCK) inhibitor Y-27632 used in the experimental group,"RCECs isolated and cultured with (experimental) or without (control) the ROCK inhibitor Y-27632; RCEC morphology assessed by inverted microscopy; proliferation and apoptosis measured by flow cytometry; RCEC identity confirmed via RT-qPCR for Na+-K+-ATPase, aquaporin 1, collagen alpha2(IV), collagen alpha1(VIII), and keratin-12; porcine DM antigenicity assessed by histocompatibility testing; DM-RCEC graft constructed and morphology assessed via alizarin red-trypan blue and H&E staining; cell membrane potential measured for physical function; complex graft tension measured with a modified tension detector and compared with fresh porcine DM-endothelium complex",rabbit corneal endothelial cells (RCECs),"rabbit (primary RCECs, isolated and cultured, +/- Y-27632)",unclear / not reported in abstract,yes,yes,yes,yes,no,no,"early preclinical (ex vivo / in vitro only, no animal transplantation)",high,"Y-27632 (ROCK inhibitor) treatment significantly increased rabbit corneal endothelial cell (RCEC) proliferation (62.68% vs. 34.50% control, P<0.05) and reduced apoptosis (8.99% vs. 35.68% control, P<0.05); RCECs formed a polygonal, cobblestone-like monolayer expressing endothelial markers (Na+-K+-ATPase, aquaporin 1, collagen IV/VIII, keratin-12); porcine Descemet membrane showed no antigenicity on histocompatibility testing; the resulting DM-RCEC graft showed normal physiological membrane potential (>-80 mV) and graft tension not significantly different from fresh porcine DM-endothelium complex (P>0.05), demonstrating feasibility of ex vivo construction of a functional RCEC sheet on a porcine DM carrier.","No in vivo transplantation or functional/clinical outcome data (ex vivo/in vitro only); no optical transparency data reported; xenogeneic porcine DM immunogenicity assessed only by short-term histocompatibility testing, not long-term in vivo immune response; rabbit-derived cells only, not human; small unspecified sample sizes implied by statistical comparisons.",abstract_only
PUBMED_0224,31751429,2019,PloS one,10.1371/journal.pone.0225480,endothelium,decellularized biological membrane carrier (human decellularized corneal stromal lamina) combined with cultured corneal endothelial cells,"human decellularized corneal stromal lamina, tested with various surface coatings (fibronectin coating identified as optimal), seeded with cultured human corneal endothelial cells (hCEC) to form a tissue-engineered endothelial keratoplasty (TEEK) construct","human corneal stromal laminas decellularized and coated with different substrate proteins (fibronectin identified as providing optimal, consistent hCEC density and polygonal morphology); hCEC suspensions seeded onto the coated laminas; grafts implanted into rabbit corneas via standard Descemet stripping automated endothelial keratoplasty (DSAEK) after central descemetorhexis",cultured human corneal endothelial cells (hCEC),"human (donor corneal endothelium, cultured)",yes,unclear / not reported in abstract,yes,yes,no,yes,no,"preclinical (animal model, rabbit)",high,"A tissue-engineered endothelial keratoplasty (TEEK) graft -- human decellularized corneal stromal lamina re-surfaced with fibronectin-coated, cultured human corneal endothelial cells -- was successfully implanted into a rabbit model of corneal endothelial damage using standard DSAEK technique. The TEEK group showed gradual recovery of corneal transparency, while control eyes (lamina without hCEC) had persistent haze/edema for up to 4 weeks; post-transplant histology confirmed a human-origin endothelial layer on the graft's posterior surface.","Rabbit (not primate/human) in vivo model; no quantitative cell-density, transmittance, or mechanical data reported in abstract; the carrier is decellularized human donor tissue rather than a fully synthetic scaffold, so donor-tissue supply constraints are only partially bypassed.",full_text_verified
PUBMED_0270,32363924,2020,Cell transplantation,10.1177/0963689720923577,endothelium,comparative study of three corneal endothelial cell carrier types: natural decellularized tissue and a bioengineered collagen sheet,"human anterior lens capsule (HALC), LinkCell(TM) bioengineered collagen sheets of 20-micron thickness (LK20), and denuded Descemet membrane (dDM), each seeded with cultured human corneal endothelial cells (hCEC)","primary hCEC isolated and expanded, then seeded onto three candidate carriers (HALC, LK20, dDM); resulting hCEC-carrier constructs evaluated by simulating Descemet membrane endothelial keratoplasty (DMEK) surgery in vitro/ex vivo using a human donor cornea (without its native DM) mounted on an artificial anterior chamber, with a conventional DMEK graft used as the surgical reference",primary human corneal endothelial cells (hCEC),"human (primary, donor-derived)",unclear / not reported in abstract,partial,yes,yes,yes,no,no,"early preclinical (in vitro / ex vivo simulated surgery, primary human cells)",high,"Comparing three hCEC carrier types for DMEK-style endothelial keratoplasty, HALC-based constructs most closely replicated the handling and adhesion behavior of a conventional DMEK graft (~83% viable-cell coverage post-simulated-surgery) while retaining a high overall cell viability (96%); LK20 and dDM carriers were surgically usable but required additional handling and, in LK20's case, had lower post-surgical viable coverage (~67%) and less effective adhesion.","Ex vivo/in vitro simulated surgery only, no live animal or human transplantation; only three carrier types tested; Na+/K+-ATPase mislocalization (cytoplasmic rather than membrane-bound) on dDM suggests incomplete functional maturity for that carrier; no numeric optical transmittance or tensile mechanical data reported.",full_text_verified
PUBMED_0304,32622067,2020,Experimental eye research,10.1016/j.exer.2020.108125,endothelium,decellularized xenogeneic biological carrier (native basement membrane),"porcine Descemet's membrane (DM), decellularized and DNA-depleted via ethylene glycol diglycidyl ether (EGDE) incubation",Denuded porcine DM decellularized (confirmed by H&E) and DNA removed via EGDE incubation; non-infected monoclonal human corneal endothelial cell (HCEC) line at passage 30 seeded onto DM and cultured ~5 days,"non-infected monoclonal human corneal endothelial cell (HCEC) line, passage 30",human (monoclonal cell line),yes,partial,yes,yes,yes,yes,no,"preclinical (animal model, feline DMEK transplantation)",high,"Non-infected monoclonal HCECs seeded onto decellularized porcine Descemet's membrane formed functional hexagonal monolayers (Na+/K+-ATPase+, ZO-1+, acetylated alpha-tubulin+); after DMEK transplantation into cat eyes, corneas became transparent with reduced thickness and stable HCEC density (~2522 cells/mm2) at day 98, versus persistent oedema in controls -- supporting porcine DM as a xenogeneic carrier for tissue-engineered corneal endothelium.",Xenogeneic (porcine) carrier and feline (not primate/human) transplantation model; single follow-up timepoint (98 days); immortalized/monoclonal rather than primary donor HCECs; long-term immune rejection and xenozoonotic risk not addressed in abstract.,abstract_only
